stage,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,6.58,0,2.1,2.07,0,0,0,1.26,0,0,2.01,0,3.14,61.49,0,0,0,2.05,6.93,0,7.55,11.73,24.58,0,0,3.28
 24-34,0,0,0.99,0,0,0,0,0,0,1.19,1.57,0,2.32,52.9,4.61,0,0,0.7,0,0,0,0,8.94,0,0,1.06
 36-46,0,0,25.27,6.34,0.66,0,0,0,0,0,14.51,0,2.65,175.19,0,2.49,0,0,0,2.33,0,0,37.33,0,0,0
 48-58,0,0,10.48,8.3,0,0,0,0,0.41,0,4.14,0.92,0.48,108.35,0,0,0,0,0,0,0,0,21.74,0,0,0
 60-70,0,0,3.33,5.73,0,0,0,0,0,0,1.08,0,0,93.47,0,0,0,0,0,0,0,0,34.21,0,1.5,0
 72-82,0.69,0,20.86,5.78,0,0,0,0,0,0,16.89,0,0.54,135.77,0,0,0,2.15,0,0,0,0,20.07,0,0,0
 84-94,0,0,19.42,0,0.89,4.17,0,0,0,0,2.1,0,0,38.46,0,0,0,0,0,0,0,0,2.95,0,0,0.93
 96-106,1.9,0.57,27.76,3.19,0,2.28,0.62,0,0,0,8.73,0,0.86,65.29,0,0,0,0,0,0,0.64,0,0.63,0,2.83,0
108-118,1.03,0,13.06,2.24,0,0,0,0,0,0,11,0,0,75.89,0,0,0.9,0.88,0,0,0,0,0,0.52,0,0
120,1.06,0,17.3,0,0,0,1.06,0,4.88,0,3.3,0,1.36,57.15,0,0,0,0,0,0,0,0,0,0,0,0
