stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,40.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.63,43.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,19.94,0,0,0,25.24,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,39.75,6.06,0.92,0,0,0,0,0,5.71,0,0,0,0,7.18,0,0,0,1.83,13.79,0,0,0,0.93,3.28,0,0.92,26.11,0.87,2.48,1.92,0
 24-34,0,0,0,46.16,0,0,0,0,0,0,0,21.61,0,0,0,0,19.29,0,0.75,0,0,4.94,0,0,0,0,5.03,0,0,95.12,0,5.8,0,0
 36-46,0,0,0,1.68,0.74,0,0,2.48,0,0,0,25.08,0,0,0,0.88,9.63,0,0,0,0,4.52,0,0,0.7,0,1.19,0.65,0,114.9,0,23.46,2.2,0
 48-58,0,0,0,0,3.87,0,0,6.02,0,0.6,1.77,24.83,0,0,0,0,15.43,0,1.65,0,0,1.58,0,1.75,0,0,0,0,0,38.72,0,4.9,0,0
 60-70,0,0,2.08,0,11.27,0,0,7.15,0,0,0,66.67,0,0,0,0,9.14,0,0,0,0,7.11,0,0,0,0,2.14,0,0,66.58,0,1.07,0,0
 72-82,0,0,8.57,1.09,2.58,0.82,0,5.79,0,0,1.33,144.22,0,0,0,0,16.14,2.93,0.66,0,0,19.41,0,2.14,1.07,0,6.94,0,0,99.43,0,14.12,0,0
 84-94,0,0,10.11,6.23,2.82,0,0,3.09,0,0,0.69,293.52,0,0,1.14,0,1.49,0,12.96,0,0,16.81,5.19,18.59,0,0,8.8,0,0,267.21,0,4.78,0,0
 96-106,0,0,8.7,7.63,5.79,3.51,0.98,13.32,0,0,6.71,406.45,0,0,0.92,0.59,8.61,0,13.03,0.83,0,59.12,0,0,0,0,2.27,0,0,198.97,0,1.63,3.21,0
108-118,0,0,20.21,13.94,3.61,0,1.56,17.04,0.58,0,1.14,587.93,0,1.55,0,0,4.51,0.9,12.05,0,1.21,58.72,0,1.78,0,0,0,0,0,283.28,0,7.43,0.91,0.57
120,0,0,3.73,15.46,1.6,0,3.12,5.22,1.16,16.69,0,448.68,0,0,1.72,0,37.98,0,12.15,0,2.24,103.94,0,12.05,0,0,1.86,0,0,193,0,0,5.85,0
