stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,neural,notochord,spinal_cord,vasculature
  5-6,23.09,0,0,0,0,0,0,0,8.9,0,0
 10-12,0,0,0,0,0,0,0,3.74,0,0,0
 14-21,0,0,0,0,0,0,0,2.27,0,2.02,0
 24-34,0,0,0,0,0,0,0,15.37,0,5.07,0
 36-46,0,0,0,7.3,0,0,0,34.5,0,16.12,0
 48-58,0,0,0,8.57,0,0,0,53.93,0,18.33,0
 60-70,0,1.27,0,46.29,1.19,0,2.19,127.08,0,28.27,0
 72-82,0,0,0.72,47.51,0.6,0,0,84.6,0,9.59,0
 84-94,0,0,0,39.72,0,0,0,59.86,0,10.98,1.06
 96-106,0,0,0,39.87,0,0,3.83,60.31,0,4.46,0
108-118,0,0,0,19.8,0,1.13,0,54.03,0,1.82,0
120,0,0,0,39.35,0,0,0,75.1,0,7.12,0
