stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,195.53,6219.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.59,0,0,0,0,0,0,0,0
  5-6,436.78,6346.83,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.32,0,0,0,13.83,94.55,0,0,0,0,0,0,0,0
  7-9,81.05,137.27,169.38,0,0,571.25,0,0,0,0,0,171.12,0,0,0,0,0,0,0,0,0,4130.83,114.8,0,0,1318.82,0,59.58,0,0,0,0,0,0,0
 10-12,0,88.49,91.69,0,6.18,324.89,0,0,0,0,0,9.88,0,0,0,0,0,0,0,0,0,2468.87,25.69,0,0,817.05,0,19.83,10.74,134.14,0,0,0,0,0
 14-21,0,1.36,5.83,27.39,4.93,12.33,0,0,0,2.05,0,0,0,0,0,0,0,0,11.03,0,11,304.63,3.46,1.13,2.95,6.22,7.07,0.9,26.8,0.86,23.13,61.36,0,0,0
 24-34,0,0,0,4.67,2.39,51.39,0,0,0,3.14,2.67,0,0,0,0,0,0,0.74,45.19,0,8.68,433.08,0,2.15,5.73,0,4.15,0,0,3.73,1.25,38.72,0,3.23,0
 36-46,0,0,0,5.8,0,104.16,0,0,0,6.24,0,0,0,0,0,0,0,0,24.63,0,6.81,257.91,0,0,0.62,0,5.89,0,0,0,0,24.22,0,1.09,0
 48-58,0,0,0,5.2,0,112.25,0.4,0,0,29.19,2.31,0,1.12,0,0,0,0,1.37,28.98,1.43,5.75,204.29,0,0,0,0,2.14,0,0,0,0,20.38,0.79,0.86,0
 60-70,0,0,0,9.97,0,75.09,0,0,1.6,13.01,2.97,0,0,0,5.42,1.16,0,0,16.07,0,2.87,118.75,0,0,0,0,0,0,0,0,0,0.69,0,2.58,0
 72-82,0,0,0,1.19,0,52.21,0,0,0.68,9.9,1.35,0,0,0,0.93,0,0,0,22.13,1.57,0.56,80.15,0,0,0,0,0,0,0,0,0,2.97,0,0.88,0
 84-94,0,0,0,3.45,0.9,22.32,0,0,1.01,10.81,3.37,0,0,0,4.21,0.75,0,10.67,18.75,1.3,8.08,43.48,0,0,2.41,0,7.04,0,0,0,0,5.13,0,2.97,0
 96-106,0,0,0,2.78,3.65,17.78,0,0,0.6,0.72,0.9,0,0.86,0.57,0,0,0.97,0,16.39,0.76,1.94,29.66,0,0,1.12,0,1.17,0,0,0.67,0,0,0,0.71,0
108-118,0,0,0,5.36,0.85,13.53,0,0.88,3.22,7.14,2.05,0,0,2.32,1.98,0.55,0,1.44,13.27,0.62,5.95,63.22,0,0,0.79,0,5.74,0,0,0,0,0,0,2.99,2.03
120,0,0,0,15.88,1.79,31.17,0,0,0,35.23,0,0,0,5.1,0,0,0,3.61,20.66,0,3.13,68.79,0,0,0,0,7.9,0,0,0,0,0,0,1.32,0
