stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,130.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.85,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,19.44,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0
 10-12,4.2,0,0,0,0,0,0,0,0,0,54.53,0,0,0,0,0,0,0,0,32.25,0,0,0,7.5,0,0,0,11.37,0,0,0,0,0,0
 14-21,0,0,0,5.33,21.93,0,0,0,0,0,123.31,0,0,0.82,0,0,0,0.95,0,5.13,0,0,0,0,0,1.63,0,0.89,0,4.95,0,15.11,0,0
 24-34,0,0,1.16,5.81,0,0,1.55,0,0,0,104.5,0,0,5.93,0,0,0.79,22.66,0.74,41.88,5.76,2.7,0,0,0,6.23,0,32.73,1.16,4.43,0,17.09,0,0
 36-46,0,0,0,3.62,0,0,0,1.04,0,0,49.62,0,0,10.51,1.36,0,0,51.9,0,141.11,2.51,0.6,0.57,0,0,15.42,0.91,38.79,0,1.06,0,0,0,0
 48-58,0,0,0,2.78,0.96,0,1.92,0,0,3.59,99.53,0,0,5.26,2.17,0,0,56.6,0,114.9,2.97,3.87,0.5,0,0,16.92,0,9.39,0,1.11,0,0,0,0
 60-70,0,0.86,0,7.92,0,0,15.85,0,0,25.21,44.59,0,0,16.95,9.42,0,0.82,65.66,0,70.59,2,2.27,0,0,0,29.24,0,8.94,0,0,0,0,0,0
 72-82,0,4,0,19.43,0,0,24.44,3.25,1.34,56.98,26.41,1.42,0,7.16,5.51,4.65,10.09,88.18,2.29,59.46,10.29,1.8,0.51,0,0,20.22,0,11.94,0,2.65,8.1,0,0.57,6
 84-94,0,1.29,0,35.72,1.83,0,7.71,0,0,125.24,40.89,0,0,0.69,21.8,0.82,16.63,106.19,0.95,66.55,1.22,2.67,1.37,0,0,82.68,0,16.67,0,0,38.37,0,0,0
 96-106,0,3.18,3.78,91.96,13.28,0.72,12.81,1.24,4.61,139.62,6.88,0,0,8.04,40.48,10.58,13.84,92.09,1.43,62.02,0,5.76,10.39,0,2.56,58.71,0,21.15,0,1.12,69.78,3.41,0,6.32
108-118,0,2.78,6.69,122.24,0,0,10.56,1.82,2.75,230.18,0,0,3.21,13.12,53.78,6.26,18.18,64.37,0,74.14,2.01,2.51,2.75,0,0.87,79.88,0,12.78,0,0,107.68,0,0,0.92
120,0,11.35,4.41,271.63,0,0,0,2.46,3.18,140.5,0,0,0,16.11,66.95,0,36.09,20.55,0,124,0,8.21,16.22,0,0,99.57,0,13.77,0,0,54.48,0,0,0
