stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,63.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.46,106.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.55,0,6.32,0,0,0,69.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.65,11.38,0,0,91.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,32.89,0,14.63,0,0,0,86.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.24,3.56,0,0,85.19,0,0,5.47,0,20.81,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,1.73,1.07,0,0,5.14,0,0,0,0.98,0.85,0,0,0,0,0,20.86,0,17.86,0,0,8.22,47.18,0,0,0,0,0,0,0.9,2.1,0,0.93,5.95,10.56,0,0,0,0,0
 24-34,0,0,0,0,3.16,0,0,10.88,0,0,2.33,17.51,0.91,3.07,0,0,0,0,0,0,23.98,0,0,9.15,68.8,0,0.6,0,0,0,0,0,0.85,0,0,0,24.64,0,0,0,0,1.98
 36-46,0,0,0,0,0.83,0.6,0,5.87,0,0,1.63,98.18,0,9.05,0,0,0,0,0,0,7.01,0,0,1.52,120.75,0,0,0,0,0,0,0,0,0,0,0,23.07,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,8.34,1.32,0,0.4,178.84,0,0.64,0,0,6.35,0,0,0,7.2,0,0,1.15,149.56,0,0,0,0,0,0,0,0,0,0,0,22.11,0,0,0.47,0,6.78
 60-70,0,0,0,0,0,0,0,21.68,0,0,0,279.89,0,0,0,1.11,45.3,0,0,0,35.26,0,0.77,0,148.11,5.95,0,0,0,0,0,0,0,0,0,0,40.11,0,1.5,0.73,2.96,0
 72-82,0,0,0,0,1.19,1.84,0,33.95,0,1.14,0,251.33,0,0,0.55,0,55.17,0.97,0,2.66,71.22,0,1.62,1.54,126.18,0,0.88,4.04,0,0,0,0,0,0,0,0,49.02,0,2.2,0,47.54,6.31
 84-94,0,0,0,0,0,0,0,47.91,0,0,0,185.46,0,0,0,1.39,26.9,0,0,0,35.83,0,6.73,1.91,88.15,2.22,0,0,0,0,0.75,0,0,0,0,0,34.17,1.53,2.06,0,68.75,4.85
 96-106,0,0,0,0,0,2.48,0.62,44.26,0,0,0.81,167.68,4.37,0,0.93,0.85,70.11,0,0,0,28.83,2.08,2.38,0.78,108.28,0,0,2.09,0,0,0,0,0,0,0,0,17.22,0,0.92,0,120.61,0
108-118,0,0,0,0,0.53,0.58,0,67.62,0,0,0,113.14,0.5,0,0,0,64.2,0,0,0,25.76,0,1.64,0,168,0.85,0,0,0,1.49,0,0,0,0,0,0,20.26,0,6.81,0.83,120.89,0
120,0,0,0,0,1.36,0,0,56.62,0,0,0,161.42,0,0,6.75,0,72.96,0,0,0,20.85,0,0,0,209.38,0,0,0,0,0,0,0,0,0,0,0,50.56,0,0,5.56,141.66,0
