stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,86.26,901.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.68,0,0,0,0,0,0,0
  5-6,115.7,1708.16,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,72.53,14.56,0,0,66.62,0,0,0,0,0,0,0,0
  7-9,9.76,35.9,0,25.09,0,0,58.82,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,671.68,19.02,0,0,230.91,3.89,0,0,0,0,0,0,0
 10-12,0,12.56,0,19.38,0,0,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.41,0,0,0,138.8,0,0,18.95,0,0,0,0,0
 14-21,0,0,1.38,1.9,10.82,0,2.59,0,0,0,1.93,0,0,0,0,0,0,0,6.99,0,4.08,93.98,2.98,0,0,4.29,1.95,11.81,0,4.71,25.78,0,0.84,0
 24-34,0,0,0.65,0,3.43,0.89,19.53,0,0,1.15,2.22,0,0,0,0,0,0.62,0,11.12,0,3.96,153.06,0,0.67,0,0,1.36,0,0,0.59,31.13,0,0,0
 36-46,0,0,0,0,1.54,0,31.68,0,0,0,4.48,0,0,0,0,0,0,0,15.21,0,4.27,151,0,0,9.26,0,0,0,0,0,22.57,0.62,0.72,0
 48-58,0,0,0,0,0.43,0,34.32,0,0,0,1.97,0,0,0,0,4.96,0,2.08,4.19,0,7.8,41.88,0,0,0.39,0,0,0,0,0,5.08,0,0,0
 60-70,0,0,0,0,0,0,28.23,0,0,0,6.31,0.77,0,0,0,0,0,0,14.41,0,3.13,48.78,0,0,0,0,0,0,0,0,1.36,0,11.04,0
 72-82,0,0,0,0,0,0,23.3,0,0,0.6,4.22,0,0,0,0,0,0,0,3.04,0,1.53,22.03,0,2.22,2.41,0,0,0,0,0,2.07,0.97,3.93,0
 84-94,0,0,0,1.04,3.47,0,12.82,0.7,7.37,0,7.56,0,0,0,0.6,0,0.63,0,6.71,2.84,2.7,12.47,0,0,0.74,0,0.84,0,0,0,4.83,0,0.85,0
 96-106,0,0,0,0,0,0,1.57,0,0,0.75,5.36,0.62,0,0,0,0,0,0,7.37,0,2.37,3.43,0,0,2.88,0,0.6,0,0,0,0,0,0,0.61
108-118,0,0,0,0,5.48,0.59,12.49,0,0.52,1.6,3.34,0.64,0,0.61,0,0,0,0,6.46,0,0,12.36,0,0,0,0,2.28,0,0,0,0,0,3.16,0
120,0,0,0,0,0,0,0,0,0,0,8.64,0,0,0,0,0,1.84,0,23.13,0,0,33.17,0,0,1.74,0,0,0,3.15,0,0,0,1.15,0
