stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0.93,1.06,0,0,0,0,0,0,0,6.2,2.96,0,0,0,0,0,8.78,0,0,4.46,5.97,0,0,0,0,0,0.88,0,0,1.02,1.05,0,0,0,0,0
 24-34,0,0,11.86,5.69,0,0,0,0,0,0,0,10.61,42.21,0,0,0,0,0,32.02,0,15.08,6.92,43.16,0.61,1.36,0,8.72,1.64,0,0,0,0,4.43,0,0,0,0,0
 36-46,0,0,10.27,1.22,0,7.77,0,24.62,0,0,0,7.72,96.59,1.4,2.15,0,0,0,206.18,0,507.23,28.94,90.99,2.31,0,0,15.6,0,0,0,0,0,12.61,0,3.45,12,0,0
 48-58,0,0,36.72,18.5,0,47.94,1.34,42.72,1.85,6.59,1.31,31.21,446.25,1.84,0,0,1.12,6.67,147.71,1.87,1081.16,20.21,183.23,7.42,0.95,2.95,43.29,1.4,0,5.15,0,0,91.43,0,90.14,4.25,7.54,0
 60-70,0,0,18.03,11.44,0,55.79,2.64,24.63,2.62,16.39,2.67,26.05,860.65,2.85,0,0.8,1.72,0,438.49,0,2127.06,46.9,220.14,8.54,24.9,150.38,261.83,8.16,0,2.18,4.7,0,43.43,0,595.11,24.28,654.1,5.35
 72-82,0,1.24,28.88,40.69,3.54,263.3,7.29,29.95,13.06,37.86,32.02,129.15,1393.86,0.79,5.57,0,8.03,0,731.61,0,2887.17,87.59,245.07,0,7.46,214.28,520.6,8.83,0,5.62,0.54,0,59.83,0,1508.5,85.07,2497.54,11.72
 84-94,0,4.31,54.6,47.55,0.59,302.43,0.83,41.17,18.84,61.37,11.15,117.25,1991.65,4.38,0.58,0,4.08,0,697.07,0,3759.93,30.45,186.98,0,2.36,27.37,547.57,7.98,0,55.86,0,0,89.41,3.4,1916.27,56.92,3527.98,7.05
 96-106,0.95,2.48,118.83,179.18,4.78,362.91,1.76,30.26,3.55,56.53,102.23,304.56,3546.85,4.06,21.08,13.51,82.83,0,1816.45,4.69,4347.7,308.64,514.62,5.55,1.76,333.08,3365.41,52.25,0,38.29,0,0,36.54,7.01,1970.21,247.27,5177.34,0
108-118,1.45,1.5,88.35,55.08,8.73,259.13,0.54,39.29,23.04,46.45,167.85,128.58,3194.07,3.65,3.36,3.04,9.79,0.59,1866.83,0,3556.82,339.48,532.88,31.79,2.59,161.56,4055.41,18.02,0,26.32,0,0,21.53,0,647.06,146.91,4175.84,6.68
120,0,0,77.4,128.26,5.96,68.65,6.91,18.45,22.25,55.95,142.45,234.45,5041.09,3.88,7.24,20.05,1.01,0,2425.49,0,3682.32,61.55,419.92,0,1.48,171.42,3351.29,27.34,0,9.45,0,0,107.39,0,1189.67,212.44,4768.97,6.17
