stage,blastomeres,epidermis,eye,glial,gut,hatching_gland,ionocyte,mesenchyme,mural_cell,neural,otic,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
 10-12,5.73,0,0,0,0,0,0,0,0,19.13,0,8.5,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,29.18,0,0,1.8,0,0
 36-46,0,0,0,0,0,0,0,0,0,39.47,0,0,9.5,0,0
 48-58,0,0,0.52,0,0.38,0,0,6.9,0,100.46,0,0,5,0,0
 60-70,0,0,8.71,0,0,0,0,1.58,0,118.27,0,0,14.04,0,0
 72-82,0,0,42,1.16,0.63,0,0,3.21,0,167.84,0,0,6.61,9.62,0
 84-94,0,0,40.57,0,0,0,0,7.29,0.72,110.53,0,0,2.83,0,0
 96-106,0,3.46,33.73,0.99,0,0,0.99,1.93,0,139.13,0,0,4.46,0,0
108-118,0,0.89,27.15,3.26,0,0,0,12.86,0,141.21,0,0,0,1.07,1.03
120,0,3.32,47.04,14.67,1.41,0,0,5.25,0,513.43,14.75,0,0,0,0
