stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,heart,ionocyte,iridophores,melanocytes,mesenchyme,neural,notochord,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  5-6,16.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,12.66,3.27,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,47.41,0,5.77,0,15.51,0,0,0
 14-21,0,0,0,0,0.81,0,0,0,0.82,0,8.88,0,8.63,0,0,0.95,0,1.04,0,0
 24-34,0,0,0,0,2.23,0,0,0,0,0,0,0,11.44,0,0,0,0,1.84,0,0.79
 36-46,0,0,0,0,2.69,0,0,0,0,0,1.14,0,17.84,0,0,0,0,6.35,0,0
 48-58,0,0,0,0,8.74,0,0.96,0.51,0,0,0.53,0.75,9.68,0,0,0,0,3.99,0,0
 60-70,0,0,0,0,20.27,0,6.15,0,0,0,0,0,10.5,0,0,0,0,6.5,0,0
 72-82,0,0,0,0,5.36,0,8.97,0,0,0,3.74,4.45,19.75,0,0,0,0,6.07,0,0
 84-94,0,0.87,0,0,7.01,0,1.2,0,0,2.14,2.53,0,1.95,0,0,0,0,0,0,0
 96-106,0,0,2.25,0,4.77,0,1.85,0,0.83,3.93,0,0.9,13.62,0,0,0,0,0,0,0
108-118,0,0,0,2.97,0,0.44,11.94,0,0,1.77,2.88,0,3.34,0,0,0,0,0,0.77,2.68
120,0,0,0,0,14.64,0,11.92,0,0,7.44,3.24,0,62.84,0,0,0,0,1.19,0,0
