stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,47.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.34,0,3.75,0,0,0,0,4.21,0,0,0,0,0,0,12.09,0,0,3.68,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,7.23,0,0,0,0,0,0,48.53,0,0,7.91,0,0,0,0,0,0
 14-21,0,0,2.62,0,0,0,0,0,0,0,0,0,0,0,2.42,8.39,0,0,0,0,1.79,3.48,0,0,0
 24-34,0,0,0.62,0,0,14.74,0,0,0,0,0,0,2.71,0,0.83,19.4,0,0,0,0,0.83,1.34,2.29,0,0
 36-46,0,0,0,0,0,7.91,0,0,0,0,0,0,0,0,0,12.96,0.9,0,0,0,0,0,2.86,0,1.22
 48-58,0,0,0,3.37,0.44,10.19,0,1.24,0,0,0,0,5.68,0.94,0.91,17.34,0,0.59,0,0,0,0,13.51,0,0
 60-70,0,0,0,0,0,0.59,0,14.65,0,0,0.61,0,11.18,0,0,41.13,0,0,0,0,0,0,4.97,0,1.98
 72-82,0,0,8.82,7.85,0,11.62,0,0.69,0,0,0,0.67,27.2,9.84,0.79,49.61,0,0,0,0.66,0,0,2.4,0.93,2.08
 84-94,0,0,0.67,15.43,0,5.18,0.7,4.23,0,0,0,0,43.09,5.85,0,9.22,0,0,0,0,0,0,2.18,0,0
 96-106,0,0,2.41,1.5,0,0.59,0,4.47,0,0,0.81,0,39.46,0,0,16.73,0,3.8,0,0,0,0,0,0,4.47
108-118,0,0,1.73,1.73,0,13.58,0,12.42,0,1,0,0,22.48,4.28,0,9.5,0.81,0,0,1,0,0,0,0,0
120,0,0,2.47,14.77,0,21.02,0,23.93,0,1.79,0,0,46.36,0,0,35.34,0,0,0,0,0,0,0,0,14.33
