stage,endoderm,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,1.17,0,1.08,0,0,0,0,0,0,0,3.38,0,0,16.34,0,0,0
 24-34,0,0,0,1.56,0,0,0,0,0,0,0,1.03,86.62,0,0,86.96,0,0,0
 36-46,0,0,0.65,0,0,0,0,0,0,0,0,0.67,162.91,0,0,105.16,0,0,0
 48-58,0,0,13.13,2.27,0,0,0,0,0,0,2.36,0,263.58,2.08,0,94.81,0,0,9.65
 60-70,0,0,27.47,17.28,0,0,0,0,0,0,0.89,0,268.42,0,0,71.96,0,0,14.98
 72-82,0,0,35.14,49.11,0,0,0,0,0,0,2.19,0,326.49,0,0,71.23,0.87,0.62,16.97
 84-94,0,5.18,25.74,57.12,0,3.51,0.64,0,0,0,0.94,0,243.37,0,0,39.56,0,0,10.49
 96-106,0,0,29.23,60.86,0,0,0,0,0,10.33,5.8,0,251.66,0,0,36.65,0,0,2.38
108-118,0.74,5.94,30.53,77.81,0,0,1.74,0.52,2.61,0,2.36,0.9,294.96,1.21,1.29,19.62,0,0,2.47
120,0,2.98,39.51,59.72,10.13,0,0,0,0,0,0,0,517.77,0,0,90.88,0,0,0
