stage,axial,blastomeres,epidermis,eye,fast_muscle,glial,gut,liver,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,0,13.01,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,8.69,0,0,0,0
 14-21,0,0,0.93,1.95,0,0,1.05,0,0,0,14.4,0,1.19,2.23,0
 24-34,0,0,0,0.65,0,0,0,0,1.44,0,21.86,0,0,1.86,0
 36-46,0,0,0.84,4.57,0,1.35,0,0,0,0,24.08,0.71,0,13.09,0
 48-58,0,0,0,0,0,0.56,0,0,1.52,0,17.45,0,0,5.01,0
 60-70,0,0,0,4.32,0,10.22,0,0,2.27,0,2.75,0,0,5.63,0
 72-82,0,0,0.67,3.52,0,2.21,0,0,1.57,0.57,5.87,0,0,0,0
 84-94,0,0,0,1.57,0,0,0,2.4,0,0,0,0,0,0,0
 96-106,0,0,0,8.61,0,4.4,0,0,3.79,0.83,9.4,0,0,0,0
108-118,0,0,0.95,0.44,0.42,0,0,0,1.99,0,2.2,0,0,0,0.52
120,0,0,0,0,0,3.43,0,0,5.44,0,3.41,0,0,0,0
