stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,22.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.31,4.19,0,12.45,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0.86,1.63,0,0
 24-34,0,0,0,0,1.78,0,0,0,6.07,0,0,1.75,0,0,0,0,0,0,0,0.73,0,0
 36-46,0,0,0.99,0,0.87,0,2.3,0,38.39,0,8.09,4.64,0,0,0,0,0,0,0,0.83,0,0
 48-58,0,0,0,0,9.41,0,0,0,63.61,0.55,2.1,3.94,0,0,0,0,0,0,0,0.98,0,0
 60-70,0,0,1.19,0,17.64,0,0,0,202.63,0.59,7.63,16.89,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,1.85,9.59,0,29.1,5.95,0,0,279.16,0.76,7.97,24.9,0,0,0,0,0,0,0,0,5,0
 84-94,0,1.07,23.89,0,27.16,0.97,0,0.61,313.11,10.26,11.89,6.48,0,0,0,0,0,5.6,0,0,3.32,1.34
 96-106,0,1.94,14.38,0,17.72,0,0,0,246.78,7.6,9.48,38.49,0,1.29,0,0.99,1.05,1.71,0,0,7.69,1.25
108-118,0,1.26,8.61,3.58,17.49,0,4.45,0,337.53,2.85,3.55,22.48,0,0,0,0,0,0,0,0,4.3,1.27
120,0,16.03,10.11,0,8.59,0,0,1.68,316.35,6.89,3.82,1.96,0,0,0,0,0,0,0,8.98,12.47,0
