stage,epidermis,hatching_gland,melanocytes,mesenchyme,neural,spinal_cord
 48-58,0,1.7,1.32,0,0,0
 60-70,0,0.97,0,0,0,0
 72-82,0,0.65,0,0.92,3.77,0
 96-106,0,0,0.75,0,0,9.43
108-118,0,0,0.68,0,0,0
120,5.83,0,0,12.04,0,0
