stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,10.76,31.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.24,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.25,0,1.74,0,0,0,1.15,0,0,26.21,1.7,13.37,0,0,0,0,0
 24-34,0,0,0.9,1.26,0.62,0,0,6.43,0,0,1.1,0.59,0,0,0,0,0,0,1.08,0,1.91,189.4,0,5.13,0,0,0,0.78,0,0,28.31,7.9,51,0,0,12.37,0,0
 36-46,0,0,0,1.01,0,0,12.47,45.33,0,0.57,4.18,0,0,0,0,0,0,0,4.38,0,2.77,447.63,0,7.55,1.81,0,0,0,0,0,46.64,0.55,83.95,0,0,0,0,1.9
 48-58,0,0,0,3.06,0,0,85.97,54.37,3.76,0,9.47,0,0,0,0,0,6.21,4.8,7.95,0,2.73,637.73,4.25,4.22,0,0,0,1.41,0,0,33.12,0,106.27,0,0,1.86,0,8.03
 60-70,0,0,0.6,4.33,0,1,262.62,42.02,0,0,23.52,0,0,0,0,0,0,0,12.82,0,6.05,794.89,0,6.45,0.63,0,0,4.04,0,0,36.33,0,114.61,0,1.27,0.99,0,1.96
 72-82,0,0,1.32,1.55,12.24,0,266.19,54.71,0.5,0,18.66,0,0,0.64,0,0,0,9.99,17.89,0,3.53,804.81,0,6.41,6.32,0,0.71,3.31,0,2.57,20.63,0,73.32,0.95,0,2.87,1.28,0
 84-94,0,0,2.74,2.52,1.38,0,278.46,90.53,2.16,0,37.64,0.88,0,0.55,0.69,4.09,0,2.48,14.61,1.81,11.35,510.31,0,3.11,1.18,0,0,10.01,0,0,32.19,0,50.08,0,0,1.99,0,3.53
 96-106,0,0,1.62,12.18,26.38,0,257.71,188.42,0,1.65,24.77,0,2.33,1.52,0.87,0,0.73,0,36.92,0,8.56,470.58,0,2.78,1.57,0,0,13.38,0,0,47.37,0,27.35,0,0,1.55,2.77,9.02
108-118,0,0,0.57,2.62,5.47,0,220.46,222.24,1.9,0,51.82,1.8,0.78,2.97,0,0.9,0,3.71,24.04,0,33.68,659.01,0.96,3.62,4.03,0,3.71,10.12,0,0,48.69,0,23.28,0.68,0,0,0,0
120,0,0,0,0,0,0,123.27,129.85,0,0,65.7,8.64,0,0,7.01,0,0,0,12.59,0,15.85,765.75,5.5,23.91,0,0,9.21,9.06,1.12,0,18.43,0,22.23,0,0,1.3,0,0
