stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,vasculature
  5-6,0,35.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.75,0,0,0,0,7.59,0,0,0,0,0,0,0,0,0,0,0,0,74.1,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,15.75,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,4.12,0,0,0,0,0,0,0
 24-34,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0.73,0,0,2.6,0
 36-46,0,0,0,0,0,0.65,0,0.62,0,1.59,0,0,0,0,0,0,0.58,0,2.83,0,0,2.21,14.99,0,4.24,0
 48-58,0,0,0,0,0,0.45,0,0,0,0,0.39,0,0,0,0,0,0,0,5.26,0,0,0,0,0,1.61,0
 60-70,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0.67,0,14.95,0,1.58,0.71,2.54,0,3.1,0
 72-82,0,0,0,0.6,0,1.23,0,0,0.7,0,0,0,0.58,0,0,0.64,1.76,0,4.64,0,0,0,0,0,1.45,1.02
 84-94,0,0,1.17,0,0,6.06,0,0,0,0,0.77,0,0,0,0,0,0.55,0,9.05,0,0,1.05,0,0,0,0
 96-106,0,0,1.65,3.88,0,9.1,0.57,0,0,0,0,0,0,0,0,0,0.83,0,9.17,0,0,1.45,0,0,0,0
108-118,0,0,1.24,0,0.5,7.73,3.29,0,0,2.57,0,0.56,0,1.03,0.43,0,4.96,0,9.49,0,0,0.87,2.57,0.99,0,0
120,0,0,0,0,0,10.91,7.22,1.05,0,1.21,0,0,0,0,0,0,0,0,21.53,1.09,0,5.5,1.56,0,5.98,0
