stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,30.16,464.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,286.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.17,6.86,0,5.19,0,0,0,17.81,0,0,0,0,16.45,0,0,0,0,0,0,0,0,0,0,0,199.29,13.7,0,0,73.61,0,42.21,0,0,0,0,0,0,0,0,0
 10-12,0,3.65,0,0,0,0,0,31.73,0,0,0,0,13.54,0,0,0,0,0,0,0,0,0,0,0,166,3.12,0,0,135.31,0,5.62,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.96,31.09,3.73,0,18.09,0,0,0.83,0,0.92,2.2,0,7.54,0,0,0,1.65,12.6,0,0,11.59,223.12,2.69,0,1.09,2.09,0.89,0,15.85,4.09,0,11.74,76.19,0,0,0.96,0
 24-34,0,0,0,0,9.49,1.47,0,106.53,0.71,0,16.99,0,0,1.45,1.04,0,0,2.49,0,0,73.8,0,0,18.81,937.4,0,2.32,10.4,0,2.24,0.86,0,1.04,2.19,2.6,144.59,0,0,11.68,0
 36-46,0,0,0,0,7.37,3.97,0,220.16,2.41,0,8.78,0,0,0,0,0,0,0,0,0,49.22,0,11.26,11.13,775.44,0,3.08,29.13,0,18.98,0,0,0,0,0,142.28,0,0,5.66,0
 48-58,0,0,0,0,22.76,7.93,0,269.19,0,1.6,14.59,2.39,0,0,7.38,0,7.78,0.5,0,0,33.09,0.37,4.96,20.1,510.68,8.96,1.02,4.57,0,5.02,0,0,0,0,0,89.93,0,0,3.66,0
 60-70,0,0,5.38,0,11.03,0,0,274.05,0,0,40.07,3.49,0,0,1.84,0,0,3.17,0,0,49.67,0,0.59,7.57,390.22,1.83,1.59,0,0,0,0,0,0,0,0,52.23,0,0,2.1,0
 72-82,0,0,0,0,1.72,4.18,0,110.18,0,0,20.85,0,0,0.5,0,0,0,0,0,0,23.56,0,0.51,3.75,162.61,0,1.63,0,0,0.5,0,0,0,0,0,17.87,0,0,0,0
 84-94,0,0,0,0,3.77,2.63,0,151.38,0,0.59,17.87,1.68,0,0,2.95,1,0,0,0.96,0,29.7,0,3.19,3.65,118.71,0,2.63,2.78,0,0,0,0,0,0,0,10.44,0,2.86,0.83,2.67
 96-106,0,0,0,0,0,3.34,0,142.95,0,2.08,16.79,0,0,0,0,0,0,0,0,0,14.02,0,0.68,0.83,82.04,0,2.63,0.58,0,0,0,0,0,0,0,9.37,0,0,3.39,0
108-118,0,0,0,0,2.45,9.72,0.49,72.11,0,0,15.12,0.42,0,0,2.19,1.31,0,0.87,1.5,0,12.1,0,1.08,0.87,113.49,0,0,1.01,0,0,0,0,1.07,0,0,1.9,0.49,1.08,1.39,0
120,0,0,0,0,5.74,13.67,0,155.24,0,7.05,43.89,0,0,0,5.46,7.41,1.18,0,0,0,13.94,0,2.35,2.9,301.61,1.1,2.92,3.28,0,1.68,0,0,2.61,0,0,0,1.37,1.7,2.75,0
