stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,heart,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vasculature
  3-4,131.47,1422.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0
  5-6,126.28,1213.76,0,0,0,33.28,0,0,0,0,24.24,14.56,0,0,0,0,0,0,0,0
  7-9,6.75,20.45,4.34,0,13.81,4.43,0,0,0,0,253.58,27.41,0,0,191.36,0,4.29,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,30.68,11.5,0,0,91.61,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0.89,1.83,0
 24-34,0,0,0,0.76,1.56,0,0,0,0,0,2.94,0,0,0,0,0,0,0,1.88,2.91
 36-46,0,0,0,0,1.11,0,0,0,0.6,0.6,4.02,0,0,0,0,0,0,0,0,5.21
 48-58,0,0,0,0,0,0,0.58,0,0,0,4.86,0,0,0,0,0,0,0,1.36,0.39
 60-70,0,0,0,0,0,0,0,0,2.83,0,5.65,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,5.64,0,3.35,0,0,1.99,0,2.26,0,0,0,0
 84-94,0,0,0,1.3,0,0,0,3.4,4.27,0,0,0,0,0,0,0,0,0,1.48,0.62
 96-106,0,0,0,0,0,0,0.83,0,2.44,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,0,0,0.68
120,0,0,0,0,0,0,0,0,18.62,0,0,0,0,0,0,0,1.36,0,0,4.97
