stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,iridophores,mesenchyme,neural,paraxial_mesoderm,periderm,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,10.11,0,0,0
  7-9,0,0,0,0,0,0,0,3.77,4.96,0,0,0,0
 14-21,0,1.44,0,0,0,0,0,0,0,0,0,1.92,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,31.91,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,11.35,0
 48-58,0,0,0,0,0,0,0,0.88,0,0,0,11.57,0
 60-70,0,0,0,18.8,0,0,3,2.53,0,0,0.57,10.56,0
 72-82,3.53,0,0,68.95,0.51,0,0,4.68,0,0,0,12.11,0
 84-94,0,0,0,68.12,0,0,0,7.12,0,0,0,9.67,0
 96-106,0,0,1.05,144.05,6.37,0,0,13.93,0,0,0,8.09,0.66
108-118,0,0,0,115.25,0.99,0.78,1.98,3.85,0,0,0,17.79,0
120,0,0,0,40.6,0,0,0,0,0,0,0,29.12,0
