stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,95.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.58,65.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.46,0,0,0,6.55,17.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.57,0,0,27.44,0,0,0,0,12.23,0,0,0,0,0,0,0,0,0,0,255.73,37.94,0,0,30.76,58.07,16.55,0,17.19,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.67,0.98,3.54,0,0,1.29,0,0,0,0,1.48,0,0,0,7.14,0,0,7.77,22.91,2.81,0,0,2.18,68.57,0.91,5.08,1.14,1.45,3.71,6.53,0,0,0,0,0
 24-34,0,0,0,5.34,0,0,0.66,0,2.28,0,0,0,0.65,0,0,1.38,0,12.16,1.37,0,1.3,56.75,3.87,2.41,0.63,0,125.89,0,0,0,0,2.01,3.09,0,0,0,0,0
 36-46,0,0,0,35.24,0,1.79,2.83,0,12.11,0.58,0,0,0,0,0,0.61,0,13.7,5.89,1.94,2.19,73.44,16.09,1.98,0.63,0,116.58,0,0,0,0,0,5.86,0,0,0.81,0,0
 48-58,0,0,0,31.74,0,2.23,1.19,1.77,0,0,0,0,2.33,0,0.5,0.96,0,9,3.07,1.07,0.81,64.67,31.53,1.25,0.93,0,96.25,0,0,0,0,0,7.31,0,0.85,1.08,0,0
 60-70,0,0,0,30.41,0,9.72,7.31,1.18,2.09,0,0,0,0,0,3.59,0.59,1.22,16.02,0,0.64,1.35,64.57,14.65,0,7.04,0,105.38,0,0,0,0,0,8.25,0,0,2.57,0,0
 72-82,0,0,0,10.65,0,19.01,8.28,0,3.66,0,0,0.73,0,0,0,3.98,0,21.6,0,3.87,3.65,43.8,10.92,0.74,7.66,0,67.56,0,0,0,0,0,1.94,0.88,0,2.28,0,0
 84-94,0,0,0,54.82,4.19,3.42,22.26,0,2.84,0,0,0,0.65,0.58,0,7.56,0,16.52,0,1.37,0,73.7,20.52,0.71,8.53,0,261.96,0,0,1.79,0,0,14.08,0,0,0,0,0
 96-106,0,0,0,30.09,0,4.37,11.64,0,0,0.74,0,0,1.36,0.87,2.34,13.59,0,13.78,0.92,9.98,1.54,39.93,13.08,1.9,5.5,0,141.68,0,0,0,0,0,8.57,1.06,0,0,1.5,1.93
108-118,0,0,0,55.54,0,11.01,15.8,0,4.67,0,0,2.18,0,5.56,0,5.05,1.8,28.91,0,8.32,0,53.63,20.96,2.28,3.26,0,120.19,0,0,0,0,0,3.61,1.52,0,0.52,1.1,0.55
120,0,0,0,60.76,6.91,19.08,14.67,0,13.16,0,0,0,0,2.78,1.74,6.23,1.61,10.32,0,3.7,0,43.48,47.69,0,10.23,0,133.04,0,0,0,0,0,39.84,0,1.54,0,0,3.58
