stage,blastomeres,endoderm,hatching_gland,neural,paraxial_mesoderm,periderm
  3-4,44.24,0,0,0,0,0
  5-6,163.73,0,0,0,0,8.81
  7-9,7.12,0,3.81,36.9,12.36,0
 10-12,0,9.97,3.04,4.24,12.87,0
