stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,60.45,633.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.33,0,0,0,0,0,0,0,0
  5-6,0,304.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,13.13,0,0,0,0,0,0,0,0,0
  7-9,0,4.39,0,0,0,0,5.83,0,0,0,0,14.74,0,0,0,0,0,0,0,0,0,64.64,0,0,3.79,0,16.34,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.02,0,0,21.6,25.5,11.32,4.78,0,0,0,0,0,0
 14-21,0,0,1.3,0,3.02,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,5.18,0,0,0,100.01,0,0,0.85,3.22,0,0,0,0
 24-34,0,0,0,0.68,5.85,0,2.11,0,0,0,0,0,0,0,0,0,0,1.63,0,0,1.51,24.98,0.77,0,0,187.87,0,0,0,3.8,0,0,0,0
 36-46,0,0,0,0,0.64,0,2.3,4.42,0,0,0,0,0,0,0,0,0,5.95,0,0,0.8,22.55,0,0,0,196.49,0,0,0,5.69,0,0,0,10.19
 48-58,0,0,0,0,0,0,8.78,1.39,0,1.31,0.49,0,0,0,2.8,0,4.05,2.89,0,0,0.59,18.24,0.44,0,0,219.82,0,0,0,2.19,0,0,0,0
 60-70,0,0,0,0,3.44,0,8.51,0.61,0,0.65,0,1.71,0,0,0.7,0,0,1.69,0,0,0,16.64,0,0,0,290.8,0,0,0,0.81,0,15.83,0,0
 72-82,0,0,0,0,22.63,0,6.69,2.66,0,4.18,0,0,0,1.21,0,0,0,3.89,1.8,0,0,22.22,0.49,3.89,0,326.76,0,0,0,0,2.32,2.32,0,0
 84-94,0,0,0,0,43.31,0,9.52,10.04,0,2.02,0.75,0,2.63,5.8,0,0,0,4.48,4.85,0,0,4.37,0.83,0,0,880.58,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,99.93,1,22.7,12.13,0,2.18,0.83,0,6.84,7.14,1.31,0,0,21.84,8.34,2.42,0,22.99,7.94,0.93,0,863.18,0,0,0,0,0,0,0,0
108-118,0,0,0,0,75.65,0,3.39,24.18,0.83,6.58,1.66,0,1.01,14.19,1.34,3.46,0,10.65,8.39,0,0.54,37.22,0.49,0,0,676.42,0,0,0,0.61,1.16,3.52,1.5,0.65
120,0,0,0,0,129.15,0,1.48,10.47,0,0,0,0,3.82,5.43,6.94,0,0,0,2.57,0,0,20.05,1.99,0,0,454.67,0,0,0,2.04,0,0,0,0
