stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,16.36,393.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,200.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.78,0,0,0,0,0,0,0,0,0,0,0,36.18,0,0,11.5,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,7.66,0,0,0
 14-21,0,0,1.74,0,0,0,0,0,0,0,0,1.18,0,4.3,1.85,0,0,0,3.09,3.57
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.67,0,6.76,0,0,0,0,0,0.6
 36-46,0,0,0,1.33,0,0,0,0,0.65,0,0,0,1.54,3.56,0,0,0,0,0,2.21
 48-58,0,0,0,0.56,0,0,0,0.43,1.05,0,0,0.54,0,14.87,0,0,0,1.57,0,0
 60-70,0,0,0,1.17,0,0,0,0,3.38,0,0,1.06,0,6.08,0,0,0,1.48,0,2.75
 72-82,0,0,1.51,6.14,0,0.51,0.73,0,0,0,2.83,3.57,0,13.01,0,0,0,0,0,2.31
 84-94,0,0,0,0.96,3.34,0,1.49,0,1.72,0,0,1.39,0,11.67,0,0,0,0,0,2.42
 96-106,0,0,0,1.75,0,0,0,0,0.66,0,0,0,0,12.57,0,1.47,0,0,0,0.9
108-118,0,0,0,4.58,0,1.66,1.32,0,3.04,0.52,0,0,0.85,9.99,0,0,0,2.34,0,7.93
120,0,0,0,4.02,0,0,0,0,0,1.42,0,0,0,10.9,0,0,0,0,0,0
