stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,22.11,343.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.82,0,0,0,0,0,0,0,0,0
  5-6,7.05,568.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,13.85,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.32,0,0,18.52,0,0,0,0,0,0,0,0,0,0,0,0,0,228.35,11.16,0,53.31,0,15.66,0,0,0,0,0,0,0,0
 10-12,0,0,26.51,0,0,18.81,0,0,0,0,0,0,0,0,0,0,0,0,0,197.5,0,0,36.75,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.98,9.46,1.07,3.12,0,0,0,0,0.94,0,0,0,0,0,1.3,0,2.54,39.08,1.75,0,0,0.99,0,7.95,0,5.15,12.83,0,0,1.7,0
 24-34,0,0,0,3.54,0,6.07,0.85,0,1.42,0,0.67,0,0,0,0,0,10.62,0,10.4,72.09,0.65,1.6,0,13.49,0,0,0.85,1.6,26.31,0,0,18.79,0
 36-46,0,0,0,1.83,0,17.54,0,0,0.64,0,0,0,0,30.14,0,0,19.89,0,10.14,52.69,0,0,0,20.48,0,0,2.26,0,10.23,0,0,7.03,0
 48-58,0,0,0,5.24,0,7.89,0,0.53,3.97,0,0,0,0,0,0,0,19.23,0,4.27,25.43,0,0.41,0,1.47,0,0,0,0,16.63,0,0,4.93,0.89
 60-70,0,0,0,0,0,23.77,0,0,3.01,0,0,0,0,0,0,0,32.08,0.59,8.45,25.72,0,0,0,0,0,0,0.64,0,0.65,0,0,3.54,0
 72-82,0,0,0,4.47,0,12.49,0,4.84,2.62,0.53,0,0,0,0,0,0,13.41,2.51,0,22.73,0,0,0,1.71,0,0,0.84,0,3.18,0,0.75,10.51,0
 84-94,0,0,0,4.21,0,4.22,0,0,4.39,0.8,0,0,0,0,0.57,0,11.26,0,1.66,4.76,0,0,0,1.84,0,0,3.57,0,0.65,1.46,1.08,2.53,0
 96-106,0,0,0,0,9.08,1.73,0,0,6.92,0,0,0.86,0,0,0,7.05,3.19,3.3,0,22.27,0,0,0,0,0,0,2.11,0,0,0,0,6.49,0
108-118,0,0,0,0.45,0,4.21,0,0,11.68,1.21,0,0,0.57,0.43,2.39,0,13.32,0,0,9.1,0,0.47,0,1.16,0,0,5.64,0,0,0,0,4.97,0
120,0,0,0,1.34,2.63,5.14,0,0,2.23,9.09,0,0,9.24,0,0,0,0,0,0,6.68,0,2.44,0,0,0,0,8.85,0,0,0,0,1.25,0
