stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.81,0,0,0,15.28,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47,0,0,0,0,0,63.33,0,0,0,41.82,0,0,0,0,7.87,0,0,0,0,0,0,0
 14-21,0,0,1.84,3.21,4.45,0,0.93,0,0,0,6.93,0.85,0,0,0,0,534.11,0,1.77,0,0,1.15,22.67,3.36,0,1.1,0,0,3.44,0,0,0,0,12.61,17.24,0,0,0,0
 24-34,0,0.84,3.65,0.94,0,0,3.6,0,0,0,0.62,3.4,0,0,1.27,0,505.31,0,30.24,0,0,7.52,142.48,2.2,0,3.83,0,0,0,0,0,0,0,11.01,47.74,0,5.99,0,1.85
 36-46,0,0,0,0,0,0,3.84,0,0,0,2.13,1.46,0,7.19,0,0,244.62,11.06,16.5,0,0,6.19,99.23,2.75,0.73,4.64,0,0,0.62,0,0,0,0,0,33.83,0,6.83,0,0
 48-58,0,0,0,3.48,0.4,0,27.36,0,0,2.95,3.86,9.23,0.56,0,0,0,150.25,19.37,29.95,0,0,28.6,86.14,6.43,0,2.94,6.64,0,0,0,2.72,0,0,0,10.64,0,6.78,0,2.6
 60-70,0,0,0,1.93,0,0,26.02,0,0,7.69,12.86,19.74,1.01,0,0,0.63,236.19,8.17,59.18,0,0.93,18.19,98.76,0,0.79,6.54,0,0,0,0,0,1.06,0,0,9.94,0,0.64,0,11.2
 72-82,0,3.25,0,1.28,0,10.08,21.03,0,0,0,7.04,31.79,0.55,0,0,0.93,218.02,0,70.39,0,0,12.59,116.71,0,0,12.76,0,0,1.64,0,0,1.9,0,0,7.17,0,2.09,0.72,0
 84-94,0,1.26,0,5.76,2.48,20.48,56.48,2.7,0,0,7.02,93.49,0,1.53,0,1.42,708.24,0.68,59.33,0,0,27.74,95.17,3.16,0,7.03,0,0,0.64,0,0,5.04,0,0,1.33,0,1.84,0,0
 96-106,0,0.95,0,8.89,7.71,16.98,44.81,7.57,0,0,24.48,176.55,0,5.91,0,0.71,962.1,0.65,72.55,2.07,0,15.47,186.54,0,4.78,11.54,0,1.04,7.43,3.39,0,3.9,0.6,0,7.23,0,9.51,0,1.89
108-118,0,2.6,0,3.24,2.03,24.62,102.83,0.65,1.47,1.46,16.8,332.12,0,0,2.08,8.85,1968.73,12.04,61.08,4.52,0,24.2,144.75,0,0.59,12.15,0,0,14.1,0,0,12.44,0,0,5.84,2.19,4.83,0,10.19
120,0,0,0,4.06,6.14,12.66,69.94,1.47,3.14,2.63,40.12,312.58,0,1.43,0,4.53,1233.71,0,34.34,9.06,3.7,35.54,186.73,1.55,0,6.14,0,0,0,0,0,9.75,0,0,0,0,26.43,0,0
