stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,210.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.23,0,0,0,0,0,0,0,0
  5-6,26.25,314.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0
  7-9,17.87,9.6,0,15.37,0,0,18.01,0,0,0,0,12.04,0,0,0,0,0,0,0,0,0,0,0,268.72,9.08,0,0,46.71,0,7.87,5.5,0,0,0,0,0,0,0
 10-12,0,0,0,4.28,0,11.1,7.31,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,63.51,14.02,0,0,31.68,0,6.36,5.47,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,3.55,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0.88,2,0,0,3.82,30.37,0,0,0,0.99,0,1.04,0,3.71,0,3.23,12.29,0,0.87,0
 24-34,0,0,0,0,0,1.22,2.85,0,0.61,1.55,0,0,1.27,0,1.46,0,0,0,0,6.32,0,0,1.75,89.21,0,0,0.82,0,0,6.18,0,0,0,0,15.28,0,0,0
 36-46,0,0,0,0,0.81,0,18.51,0,0,3.81,0,0,5.59,0,0,0,0,0,0,8.64,0,0,5.02,173.75,0,1.46,0.57,0,0,13.32,0,0,0,0,44.94,0,0,0
 48-58,0,0,0,0,0,0,82.32,0,1.67,18.35,0,0,0,0,0,0,0,0,1.15,18.73,0,0,3.32,272.27,0,0.88,0.53,0,0,14.28,0,0,0,0,52.99,0,0.62,0
 60-70,0,0,0,0,0.92,0,57.49,0.63,4.25,5.28,0,0,0,0.98,0,0,0,0,0,14.82,0,0,1.52,139.82,0,0.88,0,0,0,2.33,0,0,1.82,0,8.15,0,1.99,0
 72-82,0,0,0.54,0,0,0,36.85,0,0.82,16.25,0,0,0,1.97,1.8,1.62,1.32,0,0,8.63,0,0,2.28,111.38,0,0.55,0,0,0,1.27,0,0,0,0,19.85,0.51,0.65,0
 84-94,0,0,2.13,0,2.11,0,25.07,0,0,9.17,0,0,0,0,1.29,0,0,1.28,0,9.94,0,1.19,1.35,64.62,0,4.39,0,0,0,10.53,0,0,0.7,0,1.62,0.56,2.57,0
 96-106,0,0,0,0,0,0,56.74,0,0,15.51,0,0,3.87,1.62,1.45,0,1.31,0,0,15.89,1.94,0,0,65.93,0,1.92,0,0,1.6,3.09,0,0,0,0,3.02,0,0,0.68
108-118,0,0,1.21,0,2.03,0,22.79,0,0,4.92,1.37,0,0,0.85,1.39,1.01,0.5,0,0,4.29,0,0,1.18,56.71,0,0,0.83,0,0,4.64,0,0,1.07,0,6.66,1.3,0,0
120,0,0,0,0,0,0,8.04,0,0,28.95,2.41,0,0,2.77,0,0,0,0,0,0,0,0,0,37.02,0,0,5.08,0,0,6.31,0,0,0,0,0,0,0,0
