stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,0,100.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.14,304.38,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,0,0,0,14.35,0,0,0,0,0,0
  7-9,0,6.88,8.23,0,0,0,10.13,0,0,0,0,0,0,0,0,162.22,0,0,76.32,0,5.26,0,0,0,0,0
 10-12,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,12.28,0,0,0,0,0,6.84,0,0,0,0
 14-21,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,2.09,0,0
 24-34,0,0,0,1.56,2.33,0,29.49,27.6,0,0,0,8.69,0,0,22.29,29.71,0.6,0,0,0,0,0,0.66,3.21,0,1.53
 36-46,0,0,0,0,0,0,7.58,4.42,0,0,0,0,0,4.33,3.16,1.72,0,0,0,0,0,0,0,0,0.93,0
 48-58,0,0,0,0,0,0,8.76,2.45,0.45,0,0,1.87,0,0,14.75,4.01,0,0.41,0,0.71,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,5.7,0,0,0,2.69,0,6.67,0,0,17.61,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,2.27,0,0,0.65,4.72,0,0,1.35,0,5.16,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,6.83,1.46,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,5.41,0,1.69,1.12,0,0,0,0,0,4.43,0,0,4.01,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,7.38,28.69,0,0,0.92,0,0,0,4.46,3.1,6.77,0,0,0,0,0,0,0,0,0.88,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,5.36,0,0,0,0,0
