stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,33.93,1035.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.47,0,0,0,0,0,0,0,0,0,0
  5-6,26.65,505.2,0,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,19.33,0,0,0,0,0,0,0,0,0,0
  7-9,9.93,6.22,0,19.27,0,0,0,27.18,0,0,0,0,10.77,0,0,0,0,0,0,0,0,0,0,326.08,8.71,0,0,90.2,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.21,0,51.69,0,0,0,72.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.27,10.71,0,0,166.85,3.3,0,5.84,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.57,3.85,0,7.65,0,0,3.08,0,0,0,0,0,0,0,0,7.32,0,0,2.8,66.65,0,0.83,3.56,0.97,1.59,6.89,1.68,0,4.86,25.26,0,0,0,0,0
 24-34,0,0,0.6,0.86,5.75,1.84,0,4.74,1.37,0.9,5.18,1.47,0,0,0,1.01,0,0,0,12.4,0,0,8.16,182.02,0,3.29,2.08,0,1.66,0,0,0,0.7,37.34,0,0,1.78,0,1.23
 36-46,0,0,0,0,6.53,0,0,29.03,0,0,4.8,0,0,0.57,0,0,0,1.61,0,14.19,0,2.41,5.78,229.63,0,2.26,0,0,2.77,0,0,0,0,41.61,0,0,2.54,0,0
 48-58,0,0,0,0,0.44,0,0,58.53,0,0,9.09,0,0,0.49,0,0,0,1.03,0,17.2,0,0,0.42,143.53,0,2.87,0,0,0.72,0,0,0.9,0,25.46,0,0.51,0,0,0
 60-70,0,0,0,0,2.02,0,0,118.65,0.98,0.86,9.5,0.65,0,0,0,0,0,0,0,20.65,0,0,0.61,173.33,0,1.54,0.63,0,5.27,0,0,0,0,31.07,0,0,0,0,2.47
 72-82,0,0,0,0,1.88,2.74,0,138.37,0,0.69,11.01,0.56,0,0,2.06,0,0,0,0,22.54,1.84,1.31,2.7,158.48,0.66,3.47,4.25,0,0.96,0,0,0,0,21.94,1.01,0,1.66,0,0
 84-94,0,0,0,0,5.21,0,0,72.89,2.61,0,1.8,2.99,0,0,2.76,0.58,0,0,0,33.82,0,2.91,4.59,148.07,0,8.2,1.27,0,9.12,0,0.7,0,0,18.66,0,4.29,2.41,0,0
 96-106,0,0,0,0,3.2,0,0,67.19,0,0,9.87,0,0,1.6,0,0,0,1.7,0,28.06,0,3.65,1.18,109.9,0,0.87,2.85,0,4.54,0,0,0,0,13.22,0.61,0,0,0.87,8
108-118,0,0,0,0,4.87,0,1.67,67.8,0,3.11,7.9,0.75,0,0.43,3.02,0.55,1.29,0,0.54,37.48,0,0,2.73,160.61,1.03,0,1.89,0,0.94,0,0,0,0,5.1,0,0,0.86,1.11,2.98
120,0,0,0,0,1.24,10.46,0,59.14,0,5.84,0,0,0,0,3.1,0,0,2.98,0,66.01,0,0,8.95,136.7,10.19,0,1.47,0,1.09,0,1.83,0,0,10.59,3.87,0,11.05,0,0
