stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,64.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.11,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.37,0,0,0,26.03,0,0,0,3.14,0,0,0,0,0,0
 14-21,0,1.11,0.93,5.2,7.85,0,0,0,83.74,0,0,0,0,0,0,0,5.39,0,0.91,53.84,0,4.79,45.61,0.94,0,3.06,1.71,186.24,0,3.97,286.34,0,0,0
 24-34,0,0.8,0,2.26,0,3.29,0,0,86.68,0,0,0,0,0,0,0,0.61,0,0.87,76.85,1.39,5.36,3.98,0,0.97,0,0,47.27,0,2.55,167.48,0,0,0
 36-46,0,0,0,1.08,0,11.48,0,0.63,42.59,0,0,0,1.66,0,0,0,4.32,0,0,114.91,0,22.34,14.68,0,0,0,0,28.97,0,0,91.83,0,0,0
 48-58,0,0,0,0,0,26.11,0.68,0.44,56.33,0,0.57,0,0.56,0,2.5,2.56,8.06,0,1.37,116.6,0,20.68,12.78,0,0.59,0,0,7.34,0,0,106.66,0,0,0
 60-70,0,0,0,0,0,14.8,0,0,38.97,0,0,0,0,0,7.75,0,3.24,0.66,0.57,117.73,0,19.81,8.86,0,0,0,0,2.34,0,0,37.42,0,7.09,2.76
 72-82,0,0,0,1.56,0,24.19,0,0,57.55,1.35,0.6,0.51,0,0,8.68,0,5.27,1.17,1.53,80.71,0,21.78,17.97,0,0,0,0,1.37,0,0,58.25,0,0,0
 84-94,0,0,2.02,0,0.72,26.66,0,0,40.83,0,0,0,0.71,0,9.74,0,10.33,0,0,56.11,0,51.03,36.98,0,2.54,0,0,10.2,0,0,40.08,0,0,0
 96-106,0,0,0,2.83,5.89,28.99,0,0.82,31.62,0,0,0,1.18,0,14.65,0,7.43,0.7,0.72,32.72,0.75,17.41,44.7,0,0,0,0,2.15,0,0,43.5,0,0,0
108-118,0,0,0.51,0,3.89,14.92,0,0,47.33,0,0,0,0,0.42,14.41,0,3.69,0,0.52,28.81,0,36.4,36.32,0,0,0,0,10.96,3.18,0,26.22,0.5,2.08,0.72
120,0,0,0,0,0,8.37,0,0,55.39,0,0,0,0,3.26,27.38,0,5.05,0,0,21.72,0,74.09,23.14,0,0,0,0,2.81,0,0,17.14,0,0,1.99
