stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.67,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.25,97.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0,0,0,0,0,0,0,69.61,5.66,0,0,40.22,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.64,0,0,0,31.74,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.24,0.9,5.22,1.02,2.01,0,0,0,5.17,1.75,0,0,0,0,0,0,0,3.02,0,0,119.66,0,1.02,0,3.4,0,0,4.34,0,0,10.58,61.28,0,0.98,0,0
 24-34,0,0,0,0,5.93,1.45,9.52,0,0,35.95,23.53,0,0,0.98,0,0,0,0.68,0,17,0,10.23,1601.64,5.65,1.26,0.65,0,0,1.62,2.33,0.61,0,38.94,459.53,0,5.42,0,0
 36-46,0,0,0,0,10.55,0,52.8,0,0,109.01,135.44,0,0,0,1.03,0,0,0,0,23.21,0.57,34.39,4498.95,2.89,0,1.06,0,0,4.02,0,0,1.6,0,1116.42,0,0.73,0,0
 48-58,0,0,0,0,13.73,2.9,267.61,1.63,0,171.47,453.55,0,0,0.63,0,3.62,0.38,0.68,0.43,41.09,0.8,22.29,4494.03,1.42,0.47,1.1,0,0,0,0,0,0.9,0,1181.02,0,0,0,2.67
 60-70,0,0,0,0,6.67,4.45,603.27,0,14.78,130.88,450.75,0,0,0,0,0,0,0,0,19.93,20.69,6.26,3092.57,0,0,1.23,0,0,3.16,0,0,0,0,620.81,0,3.12,0.87,11.32
 72-82,0,0,0,0,6.2,12.98,375.39,0,4.14,138.23,429.13,0,0,0,0,0,0,0,0,52.3,3.19,14.44,2091.14,0,0,0,0,0,0,0,0,0,0,207.42,0,1.66,0,0
 84-94,0,0,0,0,7.05,39.36,326.63,0,4.13,99.25,392.76,1.94,0,1,0,1.27,0.67,0,0,55.26,1.93,6.23,1420.18,0,5.66,0,0,0,2.01,0,0,0,0,164.62,0.57,0,2.4,2.4
 96-106,0,0,0,0,2.98,22.56,183.07,0,5.34,47.33,281.4,0.68,0,0,0,0.85,0,0.63,6.67,13.25,0,0.78,1075.67,0.62,0,0.98,0,0.81,0,0,0,0,0,52.75,0,0,0.68,0
108-118,0,0,0,0.74,9.24,9.71,123.11,0.65,0,34.47,292.49,0,0,0,0,0,2.67,0,0,19.17,0.97,5.05,826.02,0,0,3.5,0,0,0,0,0,0.66,0,51.09,0,0,0,1.42
120,5.65,0,0,0,6.8,24.92,176.18,0,0,26.64,307.32,0,0,0,0,0,0,0,0,1.49,0,0,988.21,0,0,0,0,0,3.23,0,1.13,0,0,65.61,0,0,0,0
