stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679.02,0,0,0,0,0,0,0
  5-6,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703.01,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.01,0,0,0,13.81,129.71,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.08,0,0,0,0,42.03,0,0,0,0,0,0,0
 14-21,0,1.04,23.58,0.86,0,0,0,2.27,0,0,0,0,15.96,0.85,0,0.95,5.58,0,3.64,13.43,0,2.36,5.86,0,981.77,3.81,0.85,1.83,2.84,0,0,0
 24-34,0,1.31,14.92,0,3.72,0,0,1.13,0,0,0,0,12.84,10.31,0,4.23,9.53,0,4.36,74.53,1.3,20.44,2.38,0,874.12,0,3.19,0.6,6.35,0,2.39,0
 36-46,0,0,20.91,0,6.79,0,3.82,0.68,0,0,0,0,4.76,4.69,0,1.96,16,0,0,125.88,0.94,20.46,0.7,0,780.14,0,0,0,6.09,0,0,0
 48-58,0,0,15.44,0,2.97,0,5.51,4,0,0.52,0,0,0,2.18,0,2.19,10.2,0,0.51,56.92,0,7.97,1.22,0,333.64,0,0,0,5.02,0,0,0
 60-70,0,0,39.01,0,5.18,0,2.64,1.64,0.75,0,0,0,19.44,5.53,0,2.67,5.69,0,0,15.5,0,11.5,0,0,230.06,0,0.68,0,4.49,0,0,3.23
 72-82,0,0,68.33,0.52,4.71,0,4.54,3.44,1.45,0,0,0,3.46,7.91,0,2.66,12.03,0,0,42.38,0,14.24,0,0,136.64,0,0,0,0,12.59,0,0
 84-94,0,0,92.7,0,9.78,0,1.72,2.86,6.21,2.23,0,0,9.35,11.47,0,2.55,24.37,0,0,25.55,0,45.33,1.9,0,379.49,0,0,0,0,16.23,1.01,0
 96-106,0,0,110.05,0,8.35,0,5.74,12.01,16.08,0,0,0,14.54,22.7,0,1.83,10.83,1.49,1.31,29.72,0,97.13,1.55,0,304.6,0,0,0,0,41.68,0,7.43
108-118,0,0,134.1,0,16.58,1.18,6.8,1.21,14.59,0,0.43,0,21.88,12.87,0,1.01,14.43,0,0,36.72,0,66.19,2.01,0,347.6,0,0,0,1.3,56,0,0
120,0,0,108.11,6.08,2.87,0,6.11,0,21.54,0,0,11.47,15.21,4.1,4.23,0,10.77,0,0,36.86,0,34.15,8.05,0,281.31,0,0,0,2.39,26.67,0,0
