stage,axial,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,3.46,0,0,1.15,0,0,0,0.92,0,0,0,1.52,58.65,0,0.95,0.83,0,1.68,0,1.97,8.29,0,0
 24-34,0,0,0,9.26,0,0,0,0,0,0.65,3.71,0,0.72,69.59,0,2.91,0,7.14,0,0,0.7,8.09,0,0
 36-46,0,0.71,1.11,34.83,0.89,0,0,0,0,0,2.39,0,0,46.24,0.63,0,0,1.34,0,0.88,0,17.28,0,0
 48-58,0,0,0,21.25,1.6,0.41,0.44,0,0,0,1.32,0.42,0.45,40.94,0,0,0,0.47,0,0,0,1.28,0.43,0
 60-70,0.81,3.8,0,25.92,1.3,0,0,0,0,2.89,1.53,0,0,8.31,0,0.82,0,0,0,0,0,0,0,0
 72-82,0,3.74,0,6.99,2.93,1.1,0,0,0,0,1.39,0,0,5.59,0,0,0,1.4,0,0,0,0.7,0,0.56
 84-94,0,0,0,2.67,0,3.17,0,0.59,0,3.36,2.1,0,0.66,3.03,0,0,0,0,0,0,0,0,0,0
 96-106,0,0.76,9.9,4.4,2.79,0,0,0,0,0,1.72,0,0,6.18,0.68,0,0,0,0,3.26,0,0,1.16,0
108-118,0,0,0,2.66,3.78,0,0,0,1.43,0,0,0,0,5.03,0,1.26,0,0.49,0,0,0,0,0,0
120,0,0,2.48,11.14,4.69,0,0,0,7.01,0,0,0,0,30.01,0,0,0,0,0,0,0,0,0,0
