stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,0,0,0,16.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,122.38,0,0,0,0,0,0,0.81,0,356.22,85.31,5.13,0,0,0,0,0
 24-34,0,0,0,7.74,1.04,0,4.17,180.97,0,0,1.26,0,0,1.85,0,0,0,0,15.27,0,0,37.05,77.85,73.73,0,0.66,0,0,4.06,0,0,0,289.3,86.44,6.74,0,0,0,0,0.75
 36-46,0,0,0,12.32,0,0,10.12,494.05,0,0.78,3.93,0,0,0,0.77,0,0,0.7,10.48,0,0,77.45,112.19,256.15,0.89,1.89,0,0,6.1,0,0,0.59,276.99,18.12,16.22,0,0,0,0,0
 48-58,1.15,0,0,0,2.29,0,56.06,421.75,0,0,7.98,0,0,7.24,0,0,0,5.98,17.54,0,2.29,30.62,151.08,76.79,0.6,0,0,0.47,6.88,0,0,0,200.37,0,20.21,0,0,0.61,0,5.7
 60-70,0,0,0,0.59,0.79,0,57.56,232.85,0,1.03,4.27,0,0,0,0,0,0,3.66,9.38,0,0,20.27,98.38,191.67,0,0,1.62,0,12.05,0,0,0,81.17,0,9.98,0,3.37,0.72,0,9.79
 72-82,0,0,1.09,1.11,2.16,0,38.46,215.52,0,0.74,9.42,0,0,0,0,3.8,0,0.6,12.03,0.78,0,31.79,88.24,46.47,0,0,4.01,0,2.47,0,0,0,66.43,0,4.49,0,1.62,1.79,0,6.66
 84-94,0,0,0,10,15.23,1.16,79.64,316.17,0,0,2.85,0,0,1.94,0,0.78,3.65,16.89,54.86,2.3,0,26.43,101.6,0,2.27,0,0,0,17.77,0,0,0,82.44,0,9.84,0.83,1.86,2.92,0,0
 96-106,0,0,0,4.93,9.63,5.91,104.1,459.12,16.39,0,23.22,4.69,1.87,9.32,9.16,0.66,9.15,2.34,37.91,0.83,0,42.92,131.86,6.33,2.47,0,1.2,3.21,30.28,1.35,0,0,119.26,0,3.21,0.83,0,9.55,1.16,12.14
108-118,0,0,0.64,5.19,16.04,0.58,53.25,413.23,0,0,14.95,0,0,0,2.11,0.6,4.78,10.25,25.74,5.21,1.72,69.03,107.78,80.67,0.43,2.77,0,0,20.41,0,0,0,85.36,0,3.43,0,4.88,0.98,2.52,0
120,0,0,0,25.58,4.31,0,7.26,277.17,0,0,28.03,0,0,0,0,1.11,0,4.81,13.85,0,0,70.69,49.47,5.3,1.29,0,0,0,0,0,0,0,39.71,0,4.01,0,2.92,0,0,0
