stage,eye,neural,notochord,somites
 14-21,0,0,3.42,0
 24-34,0,0.73,1.94,0.69
 60-70,2.16,3.54,0,0
 72-82,10.11,0,0,0
 84-94,17.59,0,0,0
 96-106,18.66,1.64,0,0
108-118,9.13,0,0,0
120,1.08,0,0,0
