stage,epidermis,eye,gut,mucous,periderm,vasculature,visceral_smooth_muscle
 14-21,0,0.82,0,0,0,0,0
 72-82,1.05,0,0,0.93,0,0,0
 84-94,0,0,0.72,0.86,1.13,0,2.16
108-118,0.57,0,0,0,0,1.56,0
120,0,0,1.21,13.61,0,0,0
