stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.57,0,0,0,0,0,0,0
  7-9,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,37.52,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,14.94,0,0,22.12,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.99,0,0,65.22,0,0,0,0,0,0,0
 24-34,0.71,0,0,0,0,0,0,1.33,0,0.59,1.42,0,0,15.94,0.64,0.84,228.28,0,0.67,0,0,1.85,0,0
 36-46,0,0,0,1.15,0,0,0,5.31,0,0,2.78,0,0,16.99,0,0,364.66,0,0,0,0,1.49,0,0
 48-58,2.88,0,5.36,0,0.97,0,0,0,0,0,2.33,0,0.68,16.52,0,0,242.98,0,5.16,0,0,3.09,0,0
 60-70,10.52,0,4.01,1.7,1.35,0,0,0.73,0,8.76,5.86,0,0,14.15,0,0,286.4,0.82,3.38,0,0,2.12,0,4.97
 72-82,20.87,0,5.29,2.5,0.9,1.03,0,7.59,4.99,0.99,2.86,1.15,0,9.25,0,0,161.38,0,0,0.87,0,7.28,0,0
 84-94,55.25,0,0.62,4.62,5.33,0.72,0,0.61,0,2.25,2.5,0,0.99,4.15,0,0,489.4,0.74,0,0,0,8.53,0,0
 96-106,56.22,0,4.55,1.55,7.62,6.05,0,0.75,0,3.56,5.37,0,0,12.72,0,0,250.18,0,0,0,0,4.03,0.61,0
108-118,54.53,5,1.61,2.88,1.97,3.1,2.25,2.52,0.56,1.71,3.36,0.46,0,5.87,0,0,229.45,1.87,0,1.01,1.53,2.88,2.68,0
120,49.33,0,3.28,1.18,9.81,0,13.08,0,0,0,3.25,0,0,9.01,0,0,254.23,6.69,0,1.1,9.27,11.6,0,0
