stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,25.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,0,0,0,0,0,0,0
  5-6,8.7,111.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.25,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,13.33,0,0,0,11,0,0,0,0,0,0,0,0,58.32,0,0,0,24.04,0,0,0,0,0,0,0,0
 10-12,0,8.6,0,0,0,0,17.41,0,0,0,3.88,0,0,0,0,0,0,0,0,53.95,0,0,0,25.39,0,3.49,0,0,0,0,0,0
 14-21,0,0,0,0,1.93,1.07,0.81,0,0,0,0,0,0,0,0,0,1.84,0,1.09,12.22,0,0,0,0,0,0,2.79,0,0,0,0,2.45
 24-34,0,0,0,1.29,2.08,0,4.97,0,1.03,0,0,0.79,0,0,0,0,9.34,0,0,49.96,0.62,0,1.37,0,6.09,0,12.12,0,0,0.92,0,0
 36-46,0,0,0,0,0,0,13.73,0,4.77,0,0,0,0,0.56,0,0,5.64,0.63,2.02,92.47,0.57,2.72,0,0,7.95,0,18.22,0,0,0,0,0
 48-58,0,0,0,0,11.66,0,26.41,0,10.84,0,0,0.87,0,0,0,0.37,8.15,0,1.28,72.56,0,0.68,0.49,0,7.56,0,19.92,0,0,7.08,0,0
 60-70,0,0,0,0,0.71,0,23.14,0,6.63,0,0,0,0,0,0,0,39.04,0,1.74,54.37,0,2.12,0,0,8.63,0,13.07,0,0,1.73,0,2.58
 72-82,0,0,0,0,2.44,5.18,45.63,0,9.05,0,0,0,0.52,0,0.95,0,14.76,0,0.81,73.83,0,1.22,0,0,6.14,0,9.17,1.23,1.56,2.7,1.15,0
 84-94,0,0,0,0,1.92,0,10.57,0,6.81,0,0,0,0.65,0,0,0,3.21,0.86,1.66,44.6,7.58,0,0,0,7.29,0,15.66,0,0,0.57,0,0
 96-106,0,0,0,0,3.91,0,13.86,0.81,4.36,1.06,0,0,0,0,0,0,14.77,0,0,32.8,0,3.01,4.63,0,8.6,0,0,0,0,0,0,0
108-118,0,0,4.14,0,4.71,0,9.54,0,4.05,0,0,0,6.6,0.47,0,0,4.72,0,2.99,25.37,0,0.49,0.69,0,9.44,0,0,1.6,0,0,0,0
120,0,0,0,0,5.84,0,7.79,0,0,1.69,0,0,0,4.53,0,0,2.05,0,5,36.36,0,0,4.9,0,5.29,0,0,0,0,0,0,0
