stage,eye,fin_mesenchyme,mesenchyme,mural_cell,neural,paraxial_mesoderm,periderm,vasculature
  7-9,0,0,0,0,4.46,10.49,0,0
 10-12,8.73,0,0,0,6.66,6.02,0,0
 14-21,0,0,0,0,0,0,1.16,0
 24-34,0,0,0,0,0.6,0,0.97,0
 36-46,0,0,0,0.67,2.13,0,0,0
 48-58,0,1.27,7.88,0,0.45,0,2.29,0
 96-106,0,0,0,0,0,0,0,1.21
