stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.94,386.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.73,383.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,6.24,0,31.86,0,0,0,0,0,0
  7-9,4.02,0,6.71,0,0,16.74,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,57.16,3.43,0,0,8.45,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,0,0,1.82,0,0,0,0,0,0,0,0.97,1.82,0,0,0
 24-34,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,6.24,0,0,0,0,0,0,0,0,3.22,0.73,0,0
 36-46,0,0,0,0.64,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,1.31,0,0,3.3,0,0,0,0,0,8.28,0,0,2.08,0,0,0
 48-58,0,0,0,1.27,0,0,0,0,0.5,0,0,0,0,0,0,0.42,0,0,2.78,0,2.4,5.71,0,0,0,0,0,1.36,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0.63,0,0.66,7.79,0,0,0,0,0,2.65,0,0,5.51,0,0,0,0,0,2.88,0,0,0,1.05,0,0
 72-82,0,0,0,0.77,0,2.52,0,0,7.46,0,0,0,2.08,1,0.59,0,0,0.49,13.64,0,0.79,28.93,0,2.69,0,0,0,3.45,0,0,9.87,2.46,0,0
 84-94,0,0,1.01,0,1.13,0.89,0,0.8,4.18,0.71,0,0,5.86,0,0,0,2.93,0,13.17,0.95,0,10.13,0,0,0,0,0,3.71,0,0,1.77,0,0,1.67
 96-106,0,0,0,1.4,0,3.3,1.24,0,5.14,0,0,0,6.02,0,1.36,1.6,0,0,7.75,2.34,0.79,8.55,0.57,0,0,0,0,3.7,0,0,1.95,1.24,0,5.61
108-118,0,0,0,5.52,1.03,3.58,0,0,2.38,0.93,0,1.35,5.28,0,6.76,2.16,0,0,15.72,2.67,0.85,5.98,0,0.43,0.72,0,4.1,17.89,0.79,0,2.24,6.42,0,0.74
120,0,0,0,0,0,6.64,2.44,0,1.21,7.05,0,0,6.24,0,0,0,0,0,7.76,0,0,13.8,0,0,0,0,0,32.52,0,0,0,15.11,1.8,0
