stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,14.8,0,0,0,0,0,0,0,0,8.76,0,0,0,9.17,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.83,0,0,0,0,0,0,0,0,4.59,0,0,0,8.05,0,0,0,0,0,0,0,0,0
 14-21,0,18.1,0,0,0,0,0,0,0,0,0,0,19.48,0,0,0,0,0,4.1,0.94,0,0,0,0,0,0,3.94,3.39,0,0,0,0
 24-34,0,13.04,0,0,0,1.38,0,0,0,3.4,0,0,10.74,0,0.81,0,0,0,17.01,0,0,0,0,0,7.6,0,0,3.6,0,0,0,0
 36-46,0,39.37,0,0,0,0,0,1.87,0,0,0,1.48,7.08,0,0,0,0,0,41.14,0,0,0,0,0,2.66,9.88,0,3.17,0,0,0,0
 48-58,0,23.08,0,0,10.05,1.14,0,3.26,1.77,0,0,0,8.36,0,7.17,0.46,0,0,26.46,0,0,0,0,0,0,0,0,8.76,0,0,0,0
 60-70,0,34.84,0,0,4.08,5.4,0,0,0.77,0,0,0,0,0,7.68,4.71,0,0,17.31,0,0,0.79,0,0,3.54,0,0,0.86,0,0,0,0
 72-82,0,13.54,0.56,0,1.85,1.45,0.74,0,1.29,0,0.58,0.63,9.68,0,20.19,0,0,0,13.91,0,0,3.34,0,0,2.71,0.56,0,1.65,0,0,0,0.67
 84-94,0,23.68,0,0,11.92,5.68,0,4.56,2.88,0,0,0.55,5.5,10.93,9.96,0,4.09,0.95,15.55,0,2.49,0,0,0,0,2.04,0,0.95,1.23,0,0,0
 96-106,0,35.88,0,0,7.68,6.2,0,0,10.6,0,0.9,1.4,2.51,0,5.72,0,0,0.62,31.49,0.57,1.44,0,0,2.88,0.73,0,0,0,1.59,0,0,0
108-118,0,61.87,0,1.22,2.02,9.2,1.27,1.28,5.86,0,0,0,0.42,0,8.2,1.41,0,0.44,8.11,0,0,1.19,0,0,1.57,0.43,0,0,0,1.41,0.54,0
120,0,98.66,0,0,3.33,26.3,0,0,11.5,0,4.64,0,19.08,0,8.34,0,0,0,31.26,0,0,0,0,0,0,0,0,0,0,0,0,0
