stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,423.84,11004.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.43,0,0,0,0,0,0
  5-6,152.12,3680.3,0,0,0,0,0,0,0,0,0,0,0,223.19,0,0,0,6.24,70.97,0,0,0,0,0,0
  7-9,0,0,3.51,0,0,13.95,0,5.46,0,0,0,0,0,370.64,0,0,0,96.72,0,127.93,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,97.83,0,0,0,20.74,0,24.48,0,0,0,0,0
 14-21,0,0,0,0,0,0,2.4,0,0,0,0,0,0,7.27,0.81,0,0.86,0,0,0,2.28,0,3.68,5.09,0
 24-34,0,0,0,0,0,0,6.64,0,0,0,0,0,0,12.12,0.75,3.32,0,0,0,0,0,0,0,7.49,0
 36-46,0,0,0,0,0.67,0,3.48,0,0,0,9.57,0.91,0,1.21,0,3.14,0,0,0,0.81,0,1,0,5.24,0
 48-58,0,0,0,0,0,0.52,0.81,0,0,0,0,0.47,0,0,0,0.81,0,0,0,0,0,0.4,0,7.84,0
 60-70,0,0,0,0.71,0.67,0,1.67,0,8.45,0,0,1.41,0,0,0,1.98,0,0,0,0,0,1.06,0,4.12,0
 72-82,0,0,0,0,0,1.68,4.39,0,0.68,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0,6.45,0
 84-94,0,0,0,0,0,0,2.05,0,0,0,0,4.35,0,1.12,0,2.88,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.37,0,0,0,0,1.18,0,0,4.97,0,5.94,0,5.02,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.62,1.27,0,4.37,0,0,0.48,0,0,0,6.25,0,0,0,0,0,0.42,0,0.71,0
120,0,0,0,0,0,0,0,0,0,4.54,0,1.56,3.16,0,0,0,0,0,0,0,0,5.04,0,1.57,1.54
