stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.56,1.71,0,2.54,0,0.82,0,0.95,0,0,0,7.57,0,0,0,0,0,2.91,15.14,0,0,0,0.85,0,2.2,1.76,0,1.46,1,9.6,0,0,0,0,0
 24-34,0,0,0,0,3.82,31.37,0.78,0,2.76,0,0,0,0,0,0,0,3.5,0,17.99,37.56,0,0,0,0,0,1.87,0,0,3.68,1.85,12.64,0,0,10.85,0,0
 36-46,0,0.89,0,0,2.67,55.28,2.03,0,3.92,0,0,0,0,0,0,0,9.4,0,9.66,45.55,0.64,2.93,0,7.09,2.85,14.1,0,1.34,12.42,0,20.13,0,0,5.78,0,1.94
 48-58,0,4.03,0,0,15.9,37.86,0,0,2.05,0,0,0,0,0,0,0,12.8,0,2.11,68.96,0,0,0.46,0,0,0,0,0,11.74,0,23.81,0,0,3.45,0,1.38
 60-70,0,4.75,0,0,20.96,18.79,0,0,3.71,0.72,0,1.8,0,0,0,0,18.37,0,10.54,66.64,0,0,0,0,0,1.57,0,0,5.45,0,14.78,0,0,0,1.46,0
 72-82,0,4.39,0,0,19.16,16.75,0,1.26,9,0,2.04,0,0,0,0,0,15.05,0,1.32,32.7,0,1.28,0.61,0,0,0,0,0,1.07,0,7.38,0,0,2.38,0.97,0.63
 84-94,0,1.69,9.25,1.39,6.36,19.94,0,0,10.53,0.58,0.82,0.58,0,0,0,0,15.35,0,1.49,62.13,0,0,0,0,0,7.35,0,0,3.41,0,3.93,0,0,11.03,1.86,0
 96-106,0,3.18,3.61,0,15.23,23.75,1.32,2.91,9.32,1.04,0,0,0,0.71,0,0.71,29.99,8.51,3.05,55.72,0,0,0,0,0,6.91,0,1.27,2.6,0,14.24,1.83,1.94,7.47,0,2.76
108-118,0,4.49,0.56,0.44,37.55,6.3,0,0,10.32,0,0,0,0,0,6.63,0,46.2,0,1.03,39.68,0,0,0.94,0,0,0.55,0,0,7.31,0,3.91,0,0,2.08,0,0
120,0,0,0,0,3.81,2.52,0,5.18,3.97,0,0,0,0,0,0,0,9.52,0,9.87,33.84,4.72,0,0,0,0,15.69,0,0,0,0,0,0,1.52,2,0,0
