stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,147.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.88,0,0,0,18.05,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,7.58,0,3.73,0,0,0,15.2,0,0,0,0,0,15.43,0,0,0,0,0,3.73,0,0,0,0,0,135.76,4.01,0,0,69.44,0,0,0,19.15,0,0,0,0,0,0,0,0
 14-21,0,1.38,2.64,11.92,16.35,0,10.36,0,0,0,2.2,0.97,0,0.96,0,0,0,0,0,0,9.56,0,0,17.44,127.09,5.64,0,0,0,0,1.95,5.15,6.53,2.07,15.19,59.35,0,0,1.09,0,0
 24-34,0,0.9,0.59,10.16,8.97,0,22.83,0,2.1,0,8.91,0,0,4.2,1.3,3.77,0,0,1.45,3.95,23.65,0.69,0,2.22,535.35,2.7,12.45,11.44,0,1.61,23.06,0,5,0.63,1.95,141.05,0,0,11.01,0,0.67
 36-46,0,0.95,0,21.34,0.73,0,68.73,0,0.59,0.78,28.21,0,0,1.27,0,2.78,7.84,1.17,1.07,15.37,25.44,0.87,0.55,11.13,1150.05,0,12.34,4.39,0,0,20.82,0,10.22,1.04,0,250.37,0,0,22.95,0,6.11
 48-58,0,0.41,0,13.56,3.25,0,288.08,1.94,1.44,0,52.91,0,0,2.27,5.03,7.9,9.05,1.74,1.02,5,44.96,1.75,0.44,7.14,1589.69,2.58,10.1,4.61,8.44,0,22.29,0,1.13,1.43,0,249.83,0,0,1.8,0,10
 60-70,0,0.89,0,23.46,3.39,0,593.59,2.95,5.62,0,39.46,3.4,1.77,0,6.08,2.49,0,2.98,2.11,2.79,45.51,0.63,6.53,1.29,1815.96,0,6.48,4.41,0,0.66,24.31,0,1.85,5.44,0,192.71,0,1.5,4.8,3.61,3.97
 72-82,0,1.44,0,21.13,24.44,0,1157.43,0,2.49,2.94,57.97,2.83,0,0,3.04,2.91,4.34,1.99,0,0,111.6,0.77,2.59,8.41,2052.53,0,10.51,7.25,0,3.14,15.7,0,1.83,6.43,0,191.53,0.77,1.85,16.73,5.11,11.32
 84-94,0,2.25,0,20.73,30.83,0,939.6,10.26,6.33,0,74.79,8.88,0.71,6.59,9.43,1.08,4.83,1.39,0,7.63,88.9,2.93,21.7,3.2,1524.37,0.66,22.5,9.96,0,2.65,40,0,2.12,0,0,150.43,2.15,3.37,13.77,4.09,0
 96-106,0,2.77,0,38.54,39.39,0.71,927.62,1.22,5.75,2.62,75.1,11.19,0,3.02,12.81,2.97,2.07,7.45,9.21,0,119.83,7.48,3.16,6.8,1303.76,1.38,22.85,19.05,0,5.94,72.02,0,0,0,0,65.42,0.72,3.27,19.82,3.51,18.27
108-118,0,9.02,0,20.21,14.63,4.69,734.41,0.46,13.99,0.66,92.01,17.62,0,0,23,7.51,7.19,4.54,12.6,1.75,56.9,3.28,4.28,7.62,1676.83,1.25,17.45,16.32,0,0,47.71,0,3.78,0.42,0,49.47,4.49,7.7,23.39,3.85,11.06
120,0,5.01,0,71.39,19.39,0,645.74,1.38,2.63,0,130.55,23.97,0,5.73,13.55,11.95,0,11.74,3.79,0,42.61,0,1.26,1.9,2114.79,0,33.54,9.71,0,16.5,31.04,0,0,0,0,51.11,5.18,13.83,55.72,14.71,1.1
