stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,134.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,69.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.05,9.04,0,0,0,0,0,4.57,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.18,0.95,0,1.71,0,0,3.15,0,0,0,0,0,0,36.47,0,3.38,0,0,5.04,18.34,0,1.55,0,0,0,0,0,0,0.9,7.85,0,0.82,0,0
 24-34,0,0.96,0,3.39,0,0,13.91,0,0,0,3.69,0,0.6,0,0,0,52.73,0,37.68,0,1.21,5.13,122.16,1.37,0,1.16,0,0,4.71,0,0.94,0,35.36,0,0,0,0
 36-46,0,0,0.72,1.65,0,0,22.18,0,0,2.7,19.16,0,0,0,0,0,25.45,0,89.66,0,0.56,3.71,116.57,1.64,0,1.82,0,0,0,0,0,0,16.28,0,0.65,0,0
 48-58,0,0,0,0.9,0,0,16.06,1.46,0.72,4.18,6.12,0,0,4.54,0,0.44,30.41,0,112.61,0,0,6.01,36.41,2.74,0,0,0,0,0,0,0.48,0,17.58,0,0,0,0
 60-70,0,0,0,0.75,0,0,18.22,1.1,3.51,0,0,0,0,0,0,0,77.46,0,135.86,0,0.93,0,24.52,0,0,0,0,2.46,0,0,0,0,10.75,1.59,0,0,0
 72-82,0,0.53,0,0.72,10.97,0,29.19,0,0,5.99,1.85,0,0,0,0,1.06,264.29,0,226.02,0,3.97,1.68,41.11,0,1.65,0,0,0,9.76,0,0,0,3.65,1.63,2.28,8.13,0
 84-94,0,0,0,3.23,0,0,26.79,0,3.3,6.45,0.57,0,2.65,0,0.76,0.66,749.36,0,209.04,1.21,4.63,0,47.12,0,0,0,0,0,0,0,0,0,0,7.64,3.37,11.22,0
 96-106,0,0,0,12.8,15.76,0,43.54,1.39,4.98,4.29,2.19,0,4,0,0,1.48,1246.36,0,241.22,0,1.54,1.43,150.01,1.3,2.47,0.86,0,14.45,5.04,0,0,0,1.3,11.9,10.36,30.59,0
108-118,0,0,0,12.15,10.58,0.46,39.96,3.11,0.74,7.12,1.92,0.83,0,0.72,0,0.43,2340.01,1.26,229.96,0,0.94,4.14,172.27,1.42,0,0.91,0,5.43,9.75,0,1.49,0,0,2.69,1.42,35.64,1.86
120,0,0,0,10.46,0,0,90.41,1.25,0,12.69,1.14,0,2.66,0,0,0,1306.34,0,239.53,0,10.49,0,140.19,0,0,1.59,0,0,7.76,0,0,0,11.27,0,0,96.09,0
