stage,blastomeres,epidermis,eye,glial,liver,mesenchyme,muscle,neural,olfactory,periderm,pgc,spinal_cord
  3-4,10.65,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,16.36,0,0
 10-12,0,0,0,0,0,0,0,15.57,0,0,0,0
 14-21,0,0,0,0,2.09,0,0,1.32,0,0,0,0
 24-34,0,0,0,0,0,1.15,0,1.71,0.75,0,0,0.92
 36-46,0,0,0,0,0,0,0,1.43,0,0,0,0
 48-58,0,0,2.38,0.65,0,0.53,0,1.63,0,0,0,0
 60-70,0,0,3.67,0,0,0,0,0,1.8,0,0,0
 72-82,0,0,0,0,0,0,0,3.61,0,0,0,0
 84-94,0,0,0,1.07,0,0,0,0,0,5.18,0,0
 96-106,0,0.6,0,0,0,0,0,0,0,0,1.55,0
108-118,0,0,0,0,0,0,1.04,0.74,0,0,1.11,0
120,0,0,0,0,0,0,0,0,0,0,1.53,0
