stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,28.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.21,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,67.68,0,24.12,0,0,0,0,0,0,0
 14-21,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,1.01,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,11.95,0,0,0,0,0,0,0.59,0,2.46
 48-58,0,0,0,0,0.65,0,0,0,0,0,0,7.28,0,0,16.68,0,0,0,0,0,0.42,1.76,0,0
 60-70,0,0,0,5.24,0.9,0,0,0,1.5,4.06,0,0,0,1.13,13.74,1.12,0,0,2.37,0,0,3.84,0,0
 72-82,0,0.97,0,0.71,1.76,0,0.69,0,0,0,0,2.65,0,0,20.75,0,0,0,0,0,0,11.06,0,0
 84-94,0,0,0,0,5.65,0,0,0,0,0,0,0,0,0,15.03,0,0,0,0.63,0,0,4.24,0,0
 96-106,0,0,0,0.6,2.04,1.68,0,0,0,0,0,4.05,0,0,22.3,2.4,0,0,0,0,0,1.98,0,0
108-118,0,0,0,0,4.71,0,0,0.67,0,0,0,2.44,0,0,25.37,0,0,0.91,0,0,0,2.44,0.49,0
120,0,0,0,3.32,20.43,3.32,0,20.82,0,0,0,6.65,3.05,0,71.38,0,0,0,0,0,0,0,0,0
