stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0
 14-21,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,11.53,0,0,0,0,4.22,0,0,0,0
 24-34,0,0,0,0,0,6.1,0,0,0,0,0,0,2.58,0,120.67,2.71,0,0,0,31.64,0,2.77,0,0
 36-46,0,0,0,0,0,19.23,0,0,0,3.38,0,0,1.69,0,371.62,0.91,0,0,0,55.06,0,0,0,0
 48-58,0,0,1.62,0,0,116.37,0,0,0,8.25,0,0,0.44,0.4,458.91,0,0,0,0,68.24,0,0,0,0
 60-70,0,0,0,0,0,521.76,0,0,0,18.74,5.93,0,4.07,1.76,597.12,0,0,0,1.04,73.82,0,0,0,0
 72-82,0,0.69,1.58,0,0,350.38,0,0,4.56,9.69,0,0,3.45,0,508.57,1.26,0,0,0,50.34,0,0,0,0
 84-94,0,0,2.29,2.86,0,224.61,0,0.66,1.43,13.53,0.85,0,5.91,0,377.76,0,0,0,2.48,40.42,0,0,0,0.64
 96-106,0,0,0,0,0,167.37,0,0,0,14.95,0,0,9.49,0,270.57,2.04,0,0,0,7.16,1.93,0.76,0.59,0
108-118,0,0,10.94,0,0,148.17,0.84,0,0,1.11,0,2.34,7.32,0,271.45,0,1.22,0,0,15.35,0,0,0,0
120,0,0,0,0,3.69,142.52,0,0,0,0,0,0,1.55,0,344.98,0,0,0,0,1.57,0,0,0,0
