stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.48,4138.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.2,0,0,0,0,0,0,0,0,0,0
  5-6,118.74,2100.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.97,7.03,0,0,26.37,0,63.71,0,0,0,0,0,0,0,0,0,0
  7-9,65.99,67.97,0,57.7,0,0,70.29,0,0,0,0,35.14,0,0,0,0,0,0,0,0,0,0,0,908.4,10.79,0,0,364.48,0,9.41,16.28,0,0,0,0,0,0,0,0,0
 10-12,0,29.2,0,86.71,0,0,92.19,0,0,0,0,17.79,0,0,0,0,0,0,0,0,0,0,0,1193.38,77.5,0,0,463.22,0,0,0,0,69.66,0,0,0,0,0,0,0
 14-21,0,0,0,1.91,10.85,0,0,0,0,1.17,4.56,0,0,0,0.89,0,0,0,0,4.38,0,0,15.63,50.2,2.2,2.02,1.97,0.9,0,2.3,0,3.41,0.94,0,5.48,18.58,0,1.26,0,0
 24-34,0,0,0.66,0,3.02,0.69,8.92,0,0,5.07,0,0,0,0.71,0.6,0,0.96,0,0,5.42,0,0,3.86,109.32,0,6.88,0.68,0,0,1.74,0,0,0,0,1.1,39.42,0,9.19,0,6.14
 36-46,0,0,0,0,13.38,0,19.96,0,1.45,3.97,0,0,0,0,0,0,0,0,0.7,8.97,0,0,2.24,82.83,1.28,0.63,2.11,0,0,12.83,0,0,0,0,0,34.53,0,10.06,0,2.23
 48-58,0,0,0,0,0.9,0.46,36.65,0.4,0.93,10.33,0,0.48,0.48,0,0.5,7.18,0.4,0,0,8.8,0,0,0.49,100.7,4.07,1.31,0,0,0,0.41,0,0,0,0.89,0,16.46,0.4,0.5,0,1.31
 60-70,0,0,0,0,3.47,0.61,50.46,0,0,15.25,0.63,0,0,0,0,3.59,0,0.68,0,18.99,0.67,0,2.42,72.06,0,1.16,1.03,0.81,0,8.13,0,0,1.54,0,0,10.3,0,1.92,0,0
 72-82,0,0,0.91,0,0.72,0,59.13,3.72,2.26,12.49,0.53,0,0,1,1.02,2.2,0.81,0,2.39,26.01,0.88,0,1.91,130.26,0.82,0,2.55,0,1.1,1.47,0,0,0,0,0,7.17,0,1.98,2.93,0
 84-94,0,0,0,0,1.2,0,38.44,0,0,12.71,0,0,0,2.77,0.75,0,0,0,0,14.9,0,1.94,0.75,49.12,0,0,0,0,1.53,1.33,0,0,0,0,0,7.05,0,3.73,0,0.77
 96-106,0,0,0,0,0.66,0,35.21,0.76,2.22,5.68,0,0,0,3.13,0,0.91,1.15,0,0,18.56,0,0,3.13,47.62,0.7,0,0,0,0,4.39,0,0,0.78,0,0,0,0,3.48,0.63,0
108-118,0,0,0,0,0.98,0,19.41,0,0.84,10.91,4.87,0,0,0.52,1.84,0,0,1.1,0,10.38,0,0,0.52,59.61,0,0,1.29,0,0,2.36,0,0,0,0,0,0,0,5.99,0,0
120,0,0,0,0,6.79,0,29.85,1.5,0,3.86,0,0,0,8.02,1.77,0,0,0,0,3.57,1.1,0,5.39,29.68,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0
