stage,epidermis,eye,ionocyte,mesenchyme,muscle,neural,olfactory,otic,pronephros,spinal_cord,xanthophores
 14-21,2.23,0,0,0,0,5.15,0,0.85,3.86,0,0
 24-34,0,0.78,0,0,0,0,0.69,0,0,0,0
 36-46,0,0,0,0,0,0.72,0.59,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.14,0,0.59,0
 60-70,0,0.72,0.6,0,0,0,0,0,0,0,0
 72-82,0,0.97,0,0,0.76,1.57,0,0,0,0,3.38
 96-106,0,0.76,0,0,0,0,0,0,0,0,0
108-118,0.48,0.93,0,1.19,0,1.25,0,0,0,0,0
