stage,epidermis,erythrocytes,eye,fast_muscle,glial,heart,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0.97,0,0,0,0,0.97,6.52,0,0,0,0,1.34,0.82,25.75,0
 24-34,0,0.94,1.12,0,0,0,0.74,0,0,0,17.49,0,0,0,0.95,0,0,53.77,7.09
 36-46,0,0,7.63,0,0,0,0,0,1.15,0,77.72,0,0,0,1.99,0,0,129.79,0
 48-58,0,0,7.62,0.94,2.86,0,0,0,0.62,0,124.29,0,0.65,0,0,0,0,98.58,0
 60-70,0,0,44.84,0,2.46,0,0,0,0,0.68,164.49,0,0,0,0,0,0,104.83,0
 72-82,0,0,52.25,0,0.61,0,0,0,7,0,171.61,0,2.93,0,0,0,0,37.81,0
 84-94,2.3,0.8,31.96,0,1.95,0,0,0.67,4.41,0,108.18,0.65,0,0,6.84,0,0,51.84,0
 96-106,0,0,35.68,0,0.59,0,0,0,1.72,0,82.88,0,2.39,1.75,0,0,0,33.9,0
108-118,0,0,28.24,0,0,0,0,0,1,0,63.14,0,0,0,1.42,0,0,6.69,0.55
120,0,0,75.07,0,0,4.89,0,0,0,0,124.62,0,0,0,0,0,0,26.02,0
