stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,20.11,0,0,0,3.51,0,0,0,0,0,0,0,0,0,100.75,0,0,0,14.12,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.57,11.6,0,0,18.21,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.69,0,0,0,0,0,0.81,0,5.34,0,0,0,0,0,0,0,0,2.81,0,0,0,0,0,2.83,0.83,0,3.05,0,0,0,0
 24-34,0,0,0,0,0,3.16,0,0,0,0,23.33,0,0,2.74,0,1.33,0,0,0,26.34,0,0,0.61,0,0,16.44,0,0,14.69,0,2.88,0,0
 36-46,0,0,0,9.95,0,1.01,0,0,0,0,26.53,1.21,0,0,0,4.3,0,0,0,23.26,0,0,0,0,0,27.89,0,0,21.22,0,0,0,0
 48-58,0,0,0,0,0,15.1,0,3.08,0,0,10.13,0,0,0,0,0.53,0,0,0.62,42.02,0,0,0,0,0,20.34,0,4.54,5.85,0,1.43,0,0.83
 60-70,0,0,0,0,0,7.36,1.31,2.47,0,0,31.24,1.13,0,0,0,0,0,0,0,7,0,0,0,0,0,59.37,0,2.41,1.49,0,0.58,0,0
 72-82,0,1.65,1.16,0,0,13.21,0,2.06,1.89,0,40.81,3.87,0,0,0,8.95,0,0,0,18.55,0,0,0,0,0,41.83,0,0,0,0,0,0,2
 84-94,0,0,3.5,0,0,6.35,4,0,8.71,0,61.93,8.47,0,0,0,0,0,0,0,7.82,0,0,0,0,0,197,0,7.74,0,0,0.84,0,0.7
 96-106,0,2.22,4.83,0,0,2.25,2.22,0.99,13,0,84.78,11.59,0,0,0,8.25,0,1.06,0,29.82,0,0,0,0,2.34,143.28,0,2.36,2.9,0.82,4.74,0,0
108-118,0,5,2.87,0,1.77,16.25,0.92,2.18,33.87,0,122.55,16.75,0,0.43,5.63,6.94,2.24,0,0,12.72,0,1.89,0.56,0,0,100.8,0,6.71,0,1.93,2.75,0.98,12.32
120,0,0,8.75,3.75,0,18.86,4.57,4,27.37,0,111.12,5.66,1.72,0,0,1.86,3.46,0,1.54,16.53,0,0,0,0,6.29,131.53,0,4.48,0,3.09,0,0,0
