stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.98,13.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0.92,1.95,0,0,0,0,0,0,1.05,1.28,5.63,1.03,0,0,0,0,0
 24-34,0,0,3.51,0,0,1.12,0,35.32,0,0,0,0.76,0,0,0,0,0,60.84,0,0,10.71,4.33,0,0,0,0,3.04,0,0,8.79,2.58,0,0,0,0,0,0
 36-46,0,0,0,0,0,2.29,0,71.72,4.55,1.09,0,0.84,0,0,0,1.34,0,512.01,0,13.02,67.7,38.61,0,1.22,0,0,0,0,0,32.3,0,2.84,0,0,6.88,0,0
 48-58,0,0,22.38,0,0,9.22,6.64,41.52,16.41,1.94,0,0,0,0,0,0,7.38,1117.49,1.05,23.25,139.28,101.37,0,0,0,3.53,0,0,0,3.8,0,6.04,0,0.61,0,0,1.32
 60-70,0,0,0,0,0,16.27,7.37,12.5,18.52,14.93,0,0.76,0,0,0,1.2,0,1321.08,1.27,59.62,132.27,65.42,2.9,1.94,4.04,1.11,8.11,0,0,4.84,0,9.21,0,6.83,0,22.79,3.42
 72-82,0.49,1.26,2.44,0,0,59.9,6.57,16.62,8.48,24.04,1.83,0,0,0,0,0,0,1563.39,0,77.71,109.6,77.37,0,1.02,3.1,0,0,8.75,0,2.16,0,10.95,0,26.45,1.42,18.46,0
 84-94,0,0,6.46,0,0,73.64,2.37,11.11,4.76,28.12,3.03,0,0,0,1.92,0,0,1325.93,1.21,57.22,86.59,50.84,5.19,0,0,0,0.68,0,0,1.37,0,3.3,2.5,18.64,0.58,26.15,0
 96-106,1.99,0,6.41,3.7,0,37.93,6.1,17.1,6.81,38.89,0,1.33,0.65,0.87,0,12.73,0,1803.26,1.42,36.27,93.56,86.44,0,0,1.66,5.13,0.56,0,0,5.19,0,0,1.68,43.43,0,15.44,10.89
108-118,0,0.45,4.75,0,0.56,40.36,7.51,10.44,7.89,28.67,1.91,0,0,0,1.16,9.84,0,1508.55,12.78,34.1,54.89,97.06,0.85,0,8.72,0,0.51,0,0,6.14,0,6.26,0,16.79,1.79,7.47,0
120,0,0,3.35,8.47,0,37.83,10.17,20.49,15.58,35.56,0,0,0,0,0,7.41,0,1444.61,0,34.11,38.22,58.46,0,0,8.87,0,3.94,0,24.27,0,0,1.98,0,7.46,7.76,3.54,0
