stage,axial,blastomeres,epidermis,eye,glial,heart,ionocyte,melanocytes,mesenchyme,neural,otic,periderm,pronephros,taste,xanthophores
  3-4,12.8,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,16.44,0,0,0,0,0
 14-21,0,0,0,1.1,0,0,0.89,0,0,4.89,0,0,0,0,0
 24-34,0,0,1.04,0,0,0,0,0,0,5.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.61,4.57,0,0,0,0,0
 48-58,0,0,0.43,0,0,0,0,0.58,0.38,0,0,0,0,0,0
 60-70,0,0,0,0,0.62,0,0,0,0,2.38,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.49,0.73,0,0,0.65,0,0
 84-94,0,0,0,0,0,0,0,0,0,2.34,0,0,0.67,0,0
 96-106,0,0,0.71,0,1.43,0,0,0,2.82,1.28,0.6,0.7,0,0,0.69
108-118,0,0,0,0,1.47,0,0,0.68,0.53,0,0.82,0.99,0,0.42,0
120,0,0,0,0,0,1.61,0,0,0,1.17,0,0,0,0,0
