stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,33.47,310.26,60.85,0,143.47,0,2.11,0,36.47,8.76,8.53,8.06,0.89,7.63,2.06,3.26,3.79,1.76,190.52,0,0,128.18,1813.39,82.89,4.3,18.99,32.62,0,18.05,14.82,270.18,24.69,22.99,341.18,444.58,0,0,6.37,0,4.97
 24-34,0.83,1.32,2.52,31.08,4.73,0,84.68,0,1.23,3.1,11.74,0,0,2.82,2.11,2.99,3.42,3.82,2.87,0.65,90.67,0.68,0,26.99,818.75,8.43,4.55,14.52,0,0,9.74,1.29,0,0,0.63,14.61,126.78,0,0,13.65,0,0
 36-46,0,0,0.88,71.46,5.01,0,222.71,2.23,1.98,11.03,60.5,3.97,0,0,7.42,2.46,3.09,6.44,8.88,6.76,236.48,0.95,1.26,56.16,1073.56,4.93,4.25,23.89,0,0,69.02,3.67,14.58,10.83,8.55,0,267.21,0,0,22.92,0,12.14
 48-58,0,0,0,26.03,0.49,0,236.69,0,12.5,3.9,60.18,0.38,0,1.11,10.26,2.02,0.75,3.26,6.09,3.46,151.18,1.04,2.43,29.32,648.24,2.74,9.36,26.22,0,0,16.68,0,0,1.28,3.04,0,101.25,0,0,25.38,0,12.63
 60-70,0,0,0,43.51,4.41,0,304.73,1.93,1.73,9.72,75.25,3.83,0,0,24.64,1.96,14.84,22.1,0,2.67,254.19,0,10.68,19.14,591.55,7.42,4.65,32.17,0,1.13,29.65,1.49,0,9.9,4.02,0,52.06,0,1.19,28.88,0,23.85
 72-82,0,3.84,0,28.37,15.15,0,215.26,2.07,5.63,5.7,70.15,10.92,0,4.57,28.54,14.41,5.77,20.17,5.37,1.95,200.8,1.52,5.14,19.49,718.81,0.62,22.48,60.38,0,2.75,34.23,0.56,0,3.33,0,0,46.36,0.97,5.01,50.79,5.67,16.64
 84-94,0,4.86,0,28.58,8.39,0,200.53,0.81,8.57,26.74,88.25,15.77,3.55,5.72,32.54,10.25,5.11,13.6,5.53,12.51,230.15,4.74,9.2,27,427.54,4.04,9.53,95.12,0,0,61.98,0,0,13.37,0.56,0,34.7,2.03,9.9,33.01,8.79,17.79
 96-106,0,3.99,0,44.44,20.69,0,126.92,0.74,2.46,0.92,68.32,19.03,0,3.65,45.64,8.82,3.98,35.99,0.87,0,153.6,1.67,5.96,12.39,285.98,0.61,18,94.87,0,4.07,164.78,2.65,0,7.66,0,0,45.26,8.44,7.85,31.86,8.14,25.98
108-118,0,2.09,2.94,53.83,10.45,0,189.92,0.75,6.29,5.6,94.69,16.8,0,0,42.78,13.79,11.55,27.52,9.13,1.05,234.31,6.41,12.25,17.8,585.39,6.88,9.45,93.31,0,5.52,109.33,3.09,0,4.77,0,0,12.55,2.35,3.18,65.11,2.67,8.45
120,0,0,0,28.96,8.26,1.91,146.33,1.06,8.29,4.77,97.36,9.59,0,18.22,117.45,8.84,1.59,30.02,1.67,0,127.41,11.8,22.61,23.66,625.89,0,20.69,96.4,0,5.29,203.71,0,0,1.2,0,0,28.53,0,2.41,41.97,0,5.5
