stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,1.14,0,0,5.03,1.38,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.96,0,0,0,1.02,0,0,0,0,1.04,0,0,0,0,0,0,0,1.27,18.32,0,0,0,0,0,0,0,0,0,7.6,2.18,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,9.88,0.38,0,0,0.64,0,0,0,0,0,0,0,0,0,1.72,0,0,0,7.38,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0
 60-70,0,0,0,0,3.53,0,209.58,15.54,0.68,0,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,28.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.09,0,19.26,19.16,3234.99,144.72,5.78,11.55,0,12.07,1.76,0,0,0,3.22,2.56,0,7.43,2.16,48.27,1.05,2.02,7.07,418.75,0.72,5.53,1.77,0,14.31,0,0,0,0,0,5.67,3.4,2.17,9.81,0.65,4.4
 84-94,0,0,1.2,0,18.21,11.29,4128.17,62.87,0,2.85,0,16.78,7.9,0.71,1.27,2.38,0.64,0,0,1.19,9.69,65.09,2.96,0,8.29,257.38,0,0,0,1.75,12.74,0,0,0,0,0,11.17,3.78,0,6.81,3.56,0
 96-106,1.12,0,7.4,0,181.67,281.77,31623.65,1042.32,9.52,32.11,43.68,261.3,76.33,0,16.6,51.55,20.06,13.82,16.93,176.93,0.63,581.58,27.5,25.5,48.26,2847.74,8.96,41.29,44.58,12.41,360.85,2.7,0,1.9,0.6,0,45.73,13.87,20.94,130.83,21.11,71.23
108-118,0,0,11.28,0.49,255.33,219.53,73123.73,2479.5,22.68,59.33,41.81,541.42,141.26,0,12.47,84.04,44.39,51.99,20.07,182.8,46.55,1100.49,27.24,46.6,107.77,5210.64,27.92,28.62,67.28,33.71,517.65,0,0,7.32,4.61,0,101.41,16.74,19.35,89.98,44.09,254.85
120,0,0,14.64,0,242.86,235.26,31295.8,1197.58,23.17,30.37,37.95,563.65,57.7,0,37.68,104.68,8.99,8.39,15.01,98.81,17.87,857.7,40.16,45.31,64.61,4805.71,21.69,50.02,40.55,43.84,252.05,0,0,5.36,3.67,0,46.04,10.33,29.51,95.05,38.99,62.91
