stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pgc,spinal_cord,xanthophores
  3-4,9.89,33.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0
  5-6,0,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.04,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,5.23,0,58,0.9,0,0
 24-34,0,0,0,0,0.62,0,0,0,0,1.03,0,0.73,0,0,0,9.68,0,0,69.27,0,0,0
 36-46,0,0,0,0,0.63,0,0,0,0,0,0,2.95,0,0.89,0,0.93,0,0,58.62,0,1.24,0
 48-58,0,0,3.05,0,3.38,0,0.77,0,0,0,4.71,1.07,0,0,0,2.11,0.91,0,18.9,0,11.31,0
 60-70,0,0,0.66,0,18.24,2.75,16.23,0,0,1.13,3.75,0,0,0,0,2.29,1.56,0,17.18,0,5.74,0
 72-82,0,0,5.12,0,21.64,0,10.96,0,0.55,0,9.24,5.09,0,1.3,0.7,11.87,0,0,7.31,0,0.53,0
 84-94,0,0,5.57,0,16.63,0,8.44,0,0,0.76,8.59,0.69,0,0,0,0,0,4,21.41,0,2.51,0
 96-106,0,0,19.68,0,31.57,0,29.89,1.3,0,7.36,4,0,0,0,0,10.97,0,0.64,6.85,0,3.58,1.21
108-118,0,0,31.74,0,40.81,0,12.04,1.97,0,3.87,19.97,0,1.06,0,0,2.08,0,0.43,6.93,0,6,0
120,0,0,12.39,11.92,15.81,0,28.03,0,0,3.64,13.34,8.39,0,0,0,30.41,0,1.64,9.39,0,0,0
