stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,372.62,12564.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687.84,0,0,0,0,0,0,0,0,0
  5-6,276.56,5023.76,0,10.68,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,197.4,14.56,0,0,31.2,509.71,0,0,0,0,0,0,0,0,0
  7-9,18.95,6.33,0,0,0,0,4.39,0,0,0,14.79,0,0,0,0,0,0,0,0,0,319.37,28.2,0,0,81.53,274.94,77.56,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.84,0,0,3.36,0,0,0,7.63,0,0,0,5.32,0,0,0,0,0,102.5,0,0,0,45.21,124.92,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,7.42,1.57,0,0,0,0,3.93,0,3.67,0,0,0.94,0,1.16,0,0,4.66,0,2.08,0,0,629.45,0,0.95,0,0,1.89,5.76,0,0,0
 24-34,0,0,0,1.59,7.26,0,3.42,0,0,0.63,6.16,0,7.97,3.56,2.23,0,1.86,15.46,0,1.65,57.87,0,13.02,4.65,0,826.57,0,0,4.68,0,1.04,3.07,0,0,0
 36-46,0,0,1.35,0.78,15.1,0,4.27,1.35,2.89,0,0,0,8.37,6.1,0,0,0.84,1.37,0,0,35.11,0,22.77,0.61,0,735.98,0,0,0.86,0,0,12.52,0,0,0.61
 48-58,0,0,0,0.4,8.79,0,15.34,5.98,7.98,3.54,0.39,0,13.09,3.37,2.08,0,12.14,9.88,0.43,0,68.97,0,10.25,7.54,0,693.43,0,0,1.13,0,0,3.41,0,0,0
 60-70,0,0,0,0,6.69,0,6.62,5.41,4.29,7.67,0.77,0,3.69,3.88,0,0,9.98,4.14,0,0,25.39,0,8.77,3.87,0,491.39,0,0,1.87,0,0,4.04,0,0,0
 72-82,0,0,1.25,0,18.74,0,20.36,2.82,3.04,23.03,0,1.18,3.92,4,0,0,2.25,7.41,0,0,22.14,0,25.81,9.9,0,284.58,0,0,0,1.5,0,7.41,4.34,4.58,2.11
 84-94,0,0,0.84,0,23.45,5.06,10.92,6.12,0.85,56.77,0.71,0,13.78,10.91,0,0,0.9,2.43,0,0,3.92,0,35.02,18.17,0,688.69,0,0,0,0,0,0,4.25,0,0
 96-106,0,0,2.08,0,59.66,1.33,11.44,7.78,3.69,24.94,0,1.48,12.74,18.46,3.56,0,3.65,6.37,0,0,51.97,0,41.05,24.11,0,526.03,0,0,3.95,0,0,0,1.95,0.88,0
108-118,0,0,0.52,0,54.39,0,6.9,2.02,2.57,30.91,0,1.66,21.56,16.17,1.86,0,1.83,12.31,0,2.59,22.51,0,23.45,21.45,0,413.88,0,0,3.44,0,0,0,9.47,0,0
120,0,0,0,0,61.26,0,0,6.84,3.48,21.95,0,2.05,10.7,16.97,1.5,0,1.42,11.71,0,0,78,0,39.57,29.13,0,296.99,0,0,3.93,0,0,0,4.46,0,0
