stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,11.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,0,0,0,6.07,0,0,0,0,0,0
 14-21,0,0,1.6,0,0,0,0,0,0,19.58,0,1.97,0,0,2.53,0,0,0,0,0,2.61,0,2.62,0,0
 24-34,0,0,1.89,1.49,1.13,0,0,0,0.76,17.82,0,6.74,0,0.79,8.91,2.03,0,0.65,0,0,0,0,4.08,1.33,0
 36-46,0,0,0,0,4.18,0,0,0,0,20.2,0,1.15,0,1.02,16.35,0,0.59,0,0,0,0,0.94,2.2,0,0
 48-58,0,0,0,0,3.21,0.39,2.01,0.64,0,34.11,0,0.43,0,0,21.05,0,0,0,0,0,0,0,2.28,0,0
 60-70,0,0,0,0,9.1,0,0,0,0,22.69,0,2.86,0,0,6.19,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.15,0,4.04,0,0,0,0,34.77,0,0,0,0,4.25,0,0.49,0,0,0.57,0,0.5,0,0,0
 84-94,0,0.8,0,5.74,3.77,0,5.69,0,0,45.56,0,3.33,0,0,3.5,0,0,0,0,0,0,0.56,0,1.07,0
 96-106,0,0,0,0,14.32,0,0.6,4.05,0,68.72,7.43,1.49,7.39,0,0,0,0,0,0,2.89,0,0,0,0,0.61
108-118,0,0,0,0,11.36,1.58,0,0.63,0,63.55,0,1.97,0,0,1.5,0,0,0,0,2.22,0,0,0,0,0
120,0,0,0,0,0,0,16.39,0,0,75.62,0,3.29,0,0,28.78,0,0,0,0,0,0,1.38,0,0,0
