stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,33.23,505.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0
  5-6,40.03,540.43,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16,0,0,19.5,0,0,0,0,0,0,0,0,0
  7-9,0,19.61,7.61,0,0,36.2,0,0,0,9.72,0,0,0,0,0,0,0,231.3,6.92,0,69.62,0,11.11,0,0,0,0,0,0,0
 10-12,0,20.31,6.52,0,0,21.25,0,0,0,0,0,0,0,0,0,0,0,283.05,0,0,47.38,0,4.94,0,7.03,0,0,0,0,0
 14-21,0,0,1.1,1.04,0.85,4.49,0,0,0,0,0,0,0,0,2.27,0,2.76,27.85,0,0,0,0,0.9,6.55,0,0.86,1.83,7.88,2.24,0
 24-34,0,0,0,2.2,0,3.37,0,0,0,0,0,0,0,0,0.69,0,3.19,37.46,0,0,0,0.99,0,0,1.06,0,0,5.23,0,2
 36-46,0,0,0,0,0,1.34,0,2.62,0,0,0,0,0.95,0,1.35,0,0,25.13,0,0,0,0,0,0.9,0,0,0,4.81,0,0
 48-58,0,0,0,0,0,9.62,0,4.59,0,0,0,0,0,0,1.65,0,0,16.24,0,0,0,0,0,0,0,0,0,9.91,0,0
 60-70,0,0,0,2.28,0,7.92,6.21,0.82,0,0,0.93,0,0,0,3,1.3,8.34,18.46,0,0,0,3.11,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.87,0,3.82,0.64,0,0,0,0,0,5.32,0,0.54,15.57,0,0,0,0,0,0,0,0,0,1.42,0.71,0
 84-94,0,0,0,0,0,8.56,0,4.82,0.63,0,0,0,0,0,7.93,0,0,16.92,0,0,0,0,0,0,0,0,0,1.19,0,0
 96-106,0,0,0,0,0,1.47,0,1.7,0,0,0.68,2.01,0,0,2.06,0,0,3.38,0,0.59,0,1.76,0,0,0,0,0,0,2.52,0
108-118,0,0,0,2.16,0,0.59,0,0,0,0,0,0,0,0,3.35,0,0.63,13.77,0.45,2.94,0,0,0,0,0,0,0,2.61,6.5,0
120,0,0,0,0,0,0,0,6.25,0,0,0,0,0,1.23,5.96,0,1.28,16,0,0,0,0,0,0,0,0,0,0,3.09,0
