stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,16.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.15,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,116.57,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.18,0,0,0.81,0,0,0,0,0,0.88,1,0,0,1.84,2190.65,0.82,4.64,0,0,0,0,1.84,1.76,0,2.45,130.33,0,0,0,0,0
 24-34,0,0.96,3.28,0.82,0,146.42,0,4.48,0,4.33,0,0,5.64,0,0.59,0,0.68,11.73,4.23,21.48,0,0,45.42,21031.47,7.74,6.72,15.5,0,0,11.19,0,0.83,3.34,1.19,719.56,0,0,3.73,0,0.96
 36-46,0,0,25.18,6.7,0,299.26,0,1.78,1.98,36.44,0,0,4.45,9.04,1.59,4.26,0.75,9.75,3.05,59.72,0,2.25,13.88,52010.16,3.3,9.82,3.26,0,0,57.46,0,5.3,29.46,0.91,3321.45,0,0,23.58,0,10.3
 48-58,0,0,102.6,7.92,0,1694.35,2.59,14.94,15.46,302.29,0,0,12.74,25.81,8.66,41.91,2.42,10.23,27.49,305.44,0.59,5.41,31.27,59413.42,34.77,10.47,5.8,0,0.47,74.26,0,3.8,7.4,0,9226.72,0,0,35.36,0.5,141.74
 60-70,0,0,38.71,13.07,0,1015.57,2.53,15.67,37.41,158.66,2.65,0,2,9.72,1.3,11.43,0.73,25.26,38.58,219.87,6.21,11.03,23.36,40548.9,10.09,5.08,12.33,0,1.19,36.52,0,0.73,0,0,8810.72,1.44,3.2,9.62,5.42,101.41
 72-82,0,1.73,167.11,39.52,0,1740.27,4.84,6.81,27.97,247.3,3.93,0,3.78,26.39,8.09,0,6.08,6.99,2.18,346.45,0,15.48,6,26535.34,0,7.43,5.89,0,6.9,46.09,0,5.72,3.2,0,5706.96,2.22,0.97,30.85,8.67,91.6
 84-94,0,5.38,150.27,40.38,0,1219.29,1.15,1.96,2.32,226.82,3.68,0,1,13.33,0,10.17,1.55,16.98,17.4,263.24,2.12,14.69,26.31,17460.44,6.11,1.71,28.02,0,2.48,56.8,0,3.22,1.6,0,4283.86,0,8.02,15.21,0.91,27.12
 96-106,0,0,94.74,53.7,6.09,733.5,2.88,13.48,3.67,178.42,1.71,0,2.35,3.65,5.13,10.84,3.99,20.12,5.57,147.09,0.7,0,20.24,11889.73,0,0,1.7,0,2.17,34.19,0,1.59,0,0,903.88,0,4.47,14.7,8.32,43.21
108-118,0,0,81.28,14.56,2.27,480.14,1.39,1.89,34.73,174.32,6.19,0,0,1.25,0.49,1.68,3.56,2.5,0,151.3,2.09,5.46,5.28,18990.96,0,16.92,3.18,0,0,18.72,0,4.29,0,0,1305.13,0,0.41,11.99,1.62,8.55
120,0,0,30.3,16.3,0,549.78,0,4.82,0,90.56,0,0,14.78,0,2.37,0,0,5.59,0,94.1,5.62,7.65,10.27,15305.17,4.73,3.88,4.48,0,0,5.98,0,1.02,0,0,407.29,0,0,27.36,5.18,0
