stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,60.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,12.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,39.61,0,0,19.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.3,1.88,0.97,0,2.93,0,0,0,0,0,27.43,0.91,0,0,8.38,0,0,8.16,2.92,0,0,1.8,0,0,0,9.61,0,1.5,0.84,0,0,0,0,0,0
 24-34,0,0,0,2.26,0,0,2.43,0,5.42,0,0,0.76,75.59,0,0,1.46,60.6,0,0,16.34,14.72,1.66,2.57,0,0,0,0,0,11.02,0,0.64,6.83,0,0,1.68,0,0
 36-46,0,1.42,0,0.79,17.02,0,3.25,5.5,19.14,0.56,0,0.95,147.1,0,0,4.57,86.13,0,1.94,10.97,4.85,0,1.1,0,0,0.62,0,0,33.01,0,0,0.67,0,0,0,0,0
 48-58,0,0,0,0.44,0,0,5.61,2.46,5.85,0,0,0,151.3,0,0,27.46,76.31,0,1.33,8.38,6.22,0.51,0,0,0,0,0,0,6.44,0,0,0.55,0,0,0.51,0,0
 60-70,0,0,0,0,0,0,8.56,1.77,15.4,0,0,0,184.69,0,0.87,6.33,92.91,0,1.36,5.77,7.38,1.95,0,0,0,0,0,0,1.3,0,0,3.91,0,0,0,0,0
 72-82,0,0,0,1.93,0.96,0,1.7,3.74,0,1.43,0,0,189.58,0.55,0,0,87.95,0,0,11.97,4.95,0.58,0,0,0,0,0,0,0.53,0,0,4.76,0,0,2.3,0.71,0
 84-94,0,1.29,0.57,0,0,0,11.04,5.35,11.48,3.43,0.71,0,253.78,0.82,1.44,2.72,86.63,0.86,0,4.64,4.63,0,0.79,0,0,1.27,0,0,0,0,0,0,0,0,0,1.38,0
 96-106,0,0.83,1.8,15.71,0,0.59,11.29,5.63,8.95,7.51,0,1.22,275.33,0,0.6,1.15,63.07,1.42,0,1.66,15.75,0,0,0,0,0,1.35,0,0.7,0,0,0,1.22,3,0.77,0,0
108-118,0,0.71,2.76,23.19,1.98,0.72,13.09,8.02,5.62,7.02,0,0,260.55,0.56,3.67,0,82.74,0,0,6.46,14.45,0.45,0,0,0.95,3.61,0,0,0,0,0,0,1.13,0,1.72,0,11.28
120,0,0,0,32.41,0,0,0,3.94,0,2.86,0,0,391.32,0,3.71,10.42,77.09,0,0,16.85,2.7,0,0,0,0,0,2.5,0,0,0,0,9.86,0,0,3.36,0,2.85
