stage,axial,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,0,122.08,0,0,0,0,0,0,0,0,11.94,0,0,0
  5-6,7.37,39.3,0,0,0,0,0,0,0,8.94,0,0,0,0
 14-21,0,0,0,1.94,0,0,0,2.84,0,0,0,0.8,1.22,0
 24-34,0,0,0,0,0,0,0,8.56,0,0,0,0,2.5,0
 36-46,0,0,0,1.7,0,0,0,15.42,0,0,0,0,4.35,0
 48-58,0,0,0.95,0.91,1.17,0,0,14.76,0.82,0,0,0,2.95,0
 60-70,0,0,0,3.55,0,0,0,45.02,0,0,0,0,5.38,0
 72-82,0,0,0,13.58,2.86,0,3.68,50.89,0,0,0.58,0,0,0
 84-94,0,0,0,1.01,0.56,0,0,27.04,0,0,0,0,5.54,0.55
 96-106,0,0,0,7.94,0,0.95,0,17.96,0,0,0,0,0,0
108-118,0,0,0.68,8.97,1.33,0,0,24.58,0,0,0,0,0,0
120,0,0,2.79,40.08,0,0,0,9.03,0,0,1.62,0,0,0
