stage,blastomeres,endoderm,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,93.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,273.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.12,4.19,0,0,22.84,0,0,23,0,0,0,0,0,251.21,61.83,0,0,0
 10-12,0,9.02,11.83,0,4.33,0,0,4.27,0,0,0,0,0,147.32,40.8,0,3.14,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,1.48,0,4.07,0,0,0,0
 24-34,0,0,0,0,0.8,0,0,0,0,0,0,0,0,6.32,0,0,0,0
 36-46,0,0,0,0,0.68,0,0,0,0,0,0,0.89,0,18.87,0,0,0,0
 48-58,0,0,3.59,0,1.63,0.54,0,0,0,0,0,0,0.44,3.52,0,0,0,0
 60-70,0,0,0,0,4.4,0,0,0,0,0,0,1,0,10.34,0,0,0,2.13
 72-82,0,0,0,0,0,1.01,0,0,0,0,0,1.14,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.39,0,0.63,0,9.73,0,0,0,0
 96-106,0,0,0,0.6,0.74,1.81,0,0,0.58,0,0,1.53,1.34,2.35,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82,0,1.31,0,0
120,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0
